Weight_Kilograms_Clean,Line_Item_Quantity,Line_Item_Value,Fulfill_Via,Shipment_Mode,Country,Dosage_Form,Sub_Classification,Brand,Freight_Cost_USD_Clean
9000.0,9000,288000.0,0,0,12,0,0,3,55746.59
2052.0,6040,193280.0,0,0,4,0,0,3,24689.0
79.0,289,7803.0,0,0,0,0,0,4,1104.69
682.0,3000,215970.0,0,0,12,0,0,2,5298.9
255.0,1116,78120.0,0,0,0,0,0,2,5175.72
256.0,1116,78120.0,0,0,0,0,0,2,7118.12
832.0,832,26624.0,0,0,8,0,0,3,3740.04
49.0,213,15333.87,0,0,8,0,0,2,959.46
39.0,10,3500.0,0,0,11,0,0,0,604.0
507.0,10080,29232.0,0,0,1,2,2,1,4159.45
522.0,6720,77145.6,0,0,1,2,2,1,3796.05
81.0,400,2800.0,0,0,1,2,1,0,3013.09
502.0,10780,15631.0,0,0,1,3,2,1,7575.6
257.0,1123,78610.0,0,0,6,0,0,2,2851.72
234.0,340,47260.0,0,0,5,0,0,0,5446.06
5311.0,47879,45796.8,0,0,5,2,2,1,30408.04
6768.0,61021,45796.8,0,0,5,2,2,1,38120.96
2719.0,4300,37023.0,0,0,1,2,2,1,18614.72
1114.0,18030,26143.5,0,0,1,3,2,1,5822.44
889.0,3000,30.0,0,0,4,0,3,1,7303.52
49.0,213,15333.87,0,0,8,0,0,2,1047.39
1927.0,6502,65.02,0,0,2,0,3,1,24870.05
1566.0,6875,45796.8,0,0,2,0,0,2,19992.75
113.0,434,35674.8,0,0,1,2,2,5,2709.98
159.0,1100,12540.0,0,0,1,2,2,1,2568.6
613.0,8400,85596.0,0,0,1,2,2,1,3247.73
323.0,3648,26448.0,0,0,1,2,2,1,2335.19
34.0,108,4050.0,0,0,8,0,5,0,648.27
2147.0,5958,160866.0,0,0,7,0,0,4,11066.17
1445.0,3982,107514.0,0,0,7,0,0,4,7303.25
5057.0,6998,160954.0,0,0,7,0,0,9,44347.71
2509.0,3470,79810.0,0,0,7,0,0,9,19882.25
2535.0,3510,80730.0,0,0,7,0,0,9,22433.91
581.0,6000,17400.0,0,0,1,2,2,1,2653.27
1723.0,5751,460080.0,0,0,2,0,0,2,22451.67
3.0,3,225.0,0,0,10,0,0,0,963.34
28.0,100,2700.0,0,0,8,0,0,4,692.38
22.0,68,2176.0,0,0,10,0,0,3,1003.52
2228.0,9000,21600.0,0,0,1,2,2,1,9809.7
3509.0,700,7805.0,0,0,1,2,2,1,12835.2
2067.0,25000,45796.8,0,0,2,2,2,0,7933.38
382.0,1680,117600.0,0,0,6,0,0,2,3241.06
187.0,2100,10500.0,0,0,6,3,1,1,1903.54
2655.0,9000,45796.8,0,0,12,0,0,2,25052.69
3000.0,60,1100.4,0,0,14,3,2,0,428.91
719.0,7840,71344.0,0,0,5,2,2,1,853.88
130.0,425,38250.0,0,0,8,0,0,2,1859.79
87.0,276,24840.0,0,0,8,0,0,2,1205.7
69.0,73,3000.3,0,0,2,2,2,5,1332.43
2.0,5,160.0,0,0,13,0,0,3,12561.4
4995.0,4995,159840.0,0,0,13,0,0,3,275.0
309.0,2040,83844.0,0,0,2,2,2,5,3777.93
3393.0,26932,317528.28,0,0,5,2,2,1,30661.5
1073.0,1000,110000.0,0,0,0,0,0,0,8114.11
195.0,800,56000.0,0,0,10,0,0,2,2008.54
30.0,150,1950.0,0,0,1,3,2,1,4111.71
158.0,140,15400.0,0,0,0,0,0,0,4318.21
251.0,2000,3800.0,0,0,10,2,1,1,1484.75
590.0,2000,144000.0,0,0,4,0,0,2,5962.58
589.0,2733,224625.27,0,0,8,2,2,5,314.0
107.0,100,7535.0,0,0,0,0,0,0,1845.74
29.0,45,7875.0,0,0,6,0,0,0,854.34
61.0,1000,17000.0,0,0,1,2,2,0,7682.69
7590.0,35000,152250.0,0,0,1,2,2,1,45450.08
7590.0,20000,338000.0,0,0,1,2,2,1,45450.08
504.0,416,1809.6,0,0,2,1,1,1,5920.42
504.0,486,2041.2,0,0,2,2,2,1,5920.42
316.0,906,19071.3,0,0,4,1,1,1,3850.8
3217.0,38780,432009.2,0,0,4,2,2,1,14364.29
479.0,4632,16906.8,0,0,2,2,2,1,4861.14
479.0,166,356.9,0,0,2,3,2,1,4861.14
1313.0,60784,45796.8,0,0,4,2,2,1,49824.57
3822.0,1000,5050.0,0,0,1,1,1,1,25124.12
2575.0,1000,2440.0,0,0,1,1,1,1,18772.94
60.0,25,10000.0,0,0,6,0,0,0,1498.02
2336.0,25000,187500.0,0,0,1,2,2,1,21150.56
120.0,50,20000.0,0,0,0,0,0,0,3004.62
3045.0,10000,270000.0,0,0,2,0,0,4,28118.58
3276.0,11500,310500.0,0,0,2,0,0,4,43664.71
2603.0,8000,216000.0,0,0,2,0,0,4,22838.29
2895.0,22500,277425.0,0,0,1,2,2,1,18045.24
960.0,500,950.0,0,0,1,1,1,1,13762.41
161.0,800,5600.0,0,0,1,2,1,0,2514.05
340.0,200,16440.0,0,0,1,1,1,7,2326.1
3336.0,10000,200000.0,0,0,3,0,0,6,27791.62
1456.0,5000,100000.0,0,0,3,0,0,6,14505.37
2318.0,35065,54350.75,0,0,7,3,2,1,6755.81
732.0,2220,71040.0,0,0,8,0,0,3,6524.19
2300.0,4500,144000.0,0,0,5,0,0,3,38425.29
83.0,400,600.0,0,0,1,3,2,1,2426.05
2985.0,9048,244296.0,0,0,2,0,0,4,20635.3
861.0,3000,239970.0,0,0,2,0,0,2,12770.05
550.0,3199,255888.01,0,0,2,0,0,2,8213.59
455.0,2000,143980.0,0,0,4,0,0,2,4113.16
16.0,70,5039.3,0,0,0,0,0,2,515.48
255.0,1116,78120.0,0,0,0,0,0,2,5303.05
194.0,850,61191.5,0,0,14,0,0,2,2642.45
137.0,520,13000.0,0,0,1,2,2,1,5260.46
121.0,2576,3889.76,0,0,1,3,2,1,2789.74
114.0,2464,3720.64,0,0,1,3,2,1,2879.96
25.0,100,7199.0,0,0,11,0,0,2,641.04
25.0,100,7199.0,0,0,11,0,0,2,1038.39
257.0,1123,78610.0,0,0,6,0,0,2,2873.56
3000.0,9000,288000.0,0,0,4,0,0,3,34902.96
120.0,2016,24917.76,0,0,1,2,2,1,5921.97
3508.0,12315,332505.0,0,0,2,0,0,4,29954.15
2.0,50,1183.5,0,0,14,3,2,0,330.0
128.0,1440,10440.0,0,0,1,2,2,1,2147.61
1053.0,4500,45.0,0,0,4,0,3,1,11062.05
4913.0,6998,160954.0,0,0,7,0,0,9,46117.09
1708.0,50000,19500.0,0,0,0,2,4,1,12830.91
337.0,1000,80000.0,0,0,12,0,0,2,3499.18
296.0,1000,71990.0,0,0,12,0,0,2,2648.82
963.0,862,65512.0,0,0,0,0,0,0,25080.52
493.0,5900,297360.0,0,0,2,2,2,0,1727.2
1624.0,5500,395945.0,0,0,4,0,0,2,12646.15
1044.0,6156,14774.4,0,0,1,2,2,1,3854.23
46.0,150,10800.0,0,0,10,0,0,2,2946.64
2.0,50,917.0,0,0,14,3,2,0,378.0
2535.0,3510,80730.0,0,0,7,0,0,9,20083.74
284.0,839,26848.0,0,0,3,0,0,3,3261.37
1584.0,5259,420720.0,0,0,2,0,0,2,22775.45
3.0,7,490.0,0,0,10,0,0,2,963.34
355.0,1062,33984.0,0,0,8,0,0,3,4457.29
64.0,213,15336.0,0,0,8,0,0,2,1083.36
18.0,336,2520.0,0,0,1,2,2,1,2525.73
2228.0,300,3345.0,0,0,1,2,2,1,9809.7
88.0,386,27020.0,0,0,5,0,0,2,3936.25
43.0,80,560.0,0,0,6,2,1,0,260.0
362.0,1470,60417.0,0,0,6,2,2,5,2490.67
48.0,20,7000.0,0,0,11,0,0,0,684.42
2215.0,7500,45796.8,0,0,13,0,0,2,17974.65
7278.0,54432,45796.8,0,0,5,2,2,1,61925.7
43.0,180,12600.0,0,0,10,0,0,2,2760.11
3479.0,35616,240408.0,0,0,1,2,2,1,10048.1
524.0,6552,42588.0,0,0,1,2,2,1,4453.71
1815.0,15960,23142.0,0,0,1,3,2,1,9931.49
1815.0,3500,39025.0,0,0,1,2,2,1,9931.49
3.0,1,350.0,0,0,11,0,0,0,597.43
15.0,44,1375.0,0,0,0,0,0,0,633.73
1172.0,5080,55880.0,0,0,14,2,2,1,5595.44
54.0,200,32688.0,0,0,1,2,2,0,13981.96
600.0,2000,42000.0,0,0,5,0,0,0,5714.31
173.0,500,20000.0,0,0,5,0,0,3,17928.53
1313.0,2500,200000.0,0,0,4,0,0,2,5157.65
134.0,400,8000.0,0,0,4,0,0,6,963.73
78.0,125,17375.0,0,0,6,0,0,0,4702.79
512.0,1500,120000.0,0,0,2,0,0,2,3906.29
2895.0,1500,41475.0,0,0,1,2,2,1,18045.24
226.0,1000,82190.0,0,0,1,2,2,5,2923.46
3338.0,10000,200000.0,0,0,3,0,0,6,28466.06
3112.0,10000,200000.0,0,0,3,0,0,6,22856.02
68.0,250,6750.0,0,0,0,0,0,4,1711.86
2300.0,2450,78400.0,0,0,5,0,0,3,38425.29
4124.0,38784,271488.0,0,0,5,2,2,1,10500.0
513.0,2000,164400.0,0,0,1,2,2,5,5866.31
83.0,800,1400.0,0,0,1,3,2,1,2426.05
31.0,180,1850.4,0,0,6,2,1,1,910.86
979.0,4300,309557.0,0,0,4,0,0,2,8690.26
522.0,476,36176.0,0,0,0,0,0,0,6924.83
1080.0,3150,100800.0,0,0,5,0,0,3,15987.05
256.0,1116,78120.0,0,0,0,0,0,2,4014.57
362.0,1062,33984.0,0,0,8,0,0,3,4717.51
137.0,408,3162.0,0,0,1,2,1,1,5260.46
1000.0,10420,77108.0,0,0,1,2,2,1,7526.06
920.0,9600,71040.0,0,0,1,2,2,1,7265.05
385.0,1520,124944.0,0,0,1,2,2,5,4393.32
208.0,800,65760.0,0,0,1,2,2,5,3449.4
1360.0,15360,113664.0,0,0,1,2,2,1,5412.14
242.0,2180,6997.8,0,0,1,2,2,1,5881.57
185.0,2016,18648.0,0,0,1,2,2,1,5551.97
81.0,400,2800.0,0,0,1,2,1,0,2035.66
1537.0,10080,103219.2,0,0,1,2,2,1,13507.92
470.0,2059,144130.0,0,0,6,0,0,2,3684.28
1989.0,5900,188800.0,0,0,4,0,0,3,19569.48
889.0,3000,215970.0,0,0,4,0,0,2,7303.52
1062.0,1062,33984.0,0,0,8,0,0,3,3976.33
3.0,5,160.0,0,0,11,0,0,3,1225.17
5406.0,8,560.0,0,0,11,0,0,2,559.95
327.0,1848,5359.2,0,0,1,2,2,1,3171.36
4922.0,7002,161046.0,0,0,7,0,0,9,46117.09
5057.0,7002,161046.0,0,0,7,0,0,9,44360.44
5057.0,7002,161046.0,0,0,7,0,0,9,44347.71
2278.0,7690,76.9,0,0,12,0,3,1,23743.01
1698.0,18560,168896.0,0,0,5,2,2,1,16414.22
220.0,650,20800.0,0,0,10,0,0,3,7078.9
554.0,1678,53696.0,0,0,3,0,0,3,4810.99
400.0,10000,80000.0,0,0,7,0,3,2,4856.14
2462.0,24963,45796.8,0,0,3,2,2,0,3451.41
60.0,351,25272.0,0,0,8,0,0,2,1097.78
