Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight_Kilograms_Clean,shipment_mode_encoded,manufacturing_site_encoded,country_encoded,Dosage_Form_encoded,First_Line_Designation_encoded,fulfill_via_encoded,Sub_Classification_encoded,brand_encoded
60.0,739.0,1803.16,2.44,0.04,3637.0,1,3,13,1,0,0,1,2
20.0,23.0,736.0,32.0,1.6,8.0,1,7,6,5,1,1,3,4
30.0,3200.0,64000.0,20.0,0.67,430.0,1,2,1,1,1,1,1,2
30.0,51828.0,405294.96,7.82,0.26,3543.0,1,4,8,1,1,1,1,2
30.0,17300.0,135286.0,7.82,0.26,2036.0,1,2,3,1,1,0,1,2
240.0,178.0,2438.6,13.7,0.06,332.0,1,1,19,3,0,0,2,2
60.0,17896.0,156768.96,8.76,0.15,1188.0,2,3,12,1,1,0,1,2
60.0,40320.0,381024.0,9.45,0.16,3750.0,1,1,2,1,1,0,1,2
120.0,5000.0,148400.0,29.68,0.25,1331.0,2,2,12,1,0,0,1,2
60.0,11550.0,36960.0,3.2,0.05,3427.0,1,3,6,1,0,0,1,2
90.0,3330.0,53280.0,16.0,0.18,404.0,1,1,2,4,1,0,2,2
60.0,16837.0,117859.0,7.0,0.12,1353.0,1,2,20,1,1,0,1,2
30.0,28271.0,127784.92,4.52,0.15,2507.0,2,1,2,1,1,0,1,2
30.0,145784.18484021962,1302250.6478105593,9.6,0.32,46946.48571682304,2,2,2,1,1,0,1,2
60.0,53671.0,611849.4,11.4,0.19,6024.0,3,1,4,1,1,0,1,2
100.0,3000.0,215970.0,71.99,0.72,682.0,1,9,6,5,1,1,3,3
60.0,50000.0,269000.0,5.38,0.09,10381.0,2,5,2,1,1,0,1,2
60.0,29959.0,524282.5,17.5,0.29,3946.0,1,1,6,1,0,0,1,2
30.0,252.0,509.04,2.02,0.07,9.0,1,18,12,4,1,1,2,2
60.0,99974.0,1121708.28,11.22,0.19,20845.0,3,4,4,1,0,0,1,2
30.0,120200.0,1302250.6478105593,19.92,0.66,13222.0,2,2,2,1,1,0,1,2
60.0,97380.0,641734.2,6.59,0.11,8722.0,1,4,12,1,1,1,1,2
60.0,30080.0,171155.2,5.69,0.09,2933.0,1,4,11,1,1,1,1,2
240.0,100.0,1464.0,14.64,0.06,18.0,1,1,15,3,1,0,2,2
20.0,2155.0,62495.0,29.0,1.45,622.0,1,12,1,5,1,1,3,5
30.0,52546.0,318954.22,6.07,0.2,12046.0,3,3,4,1,0,0,1,2
30.0,1764.0,3951.36,2.24,0.07,11468.0,2,1,1,4,0,0,2,2
60.0,145784.18484021962,1302250.6478105593,9.81,0.16,23096.0,3,1,4,1,1,0,1,2
120.0,5000.0,304000.0,60.8,0.51,1232.0,1,8,11,1,0,1,1,6
30.0,4165.0,70805.0,17.0,0.57,265.0,1,29,2,1,1,0,1,1
60.0,8520.0,19851.6,2.33,0.04,1765.0,1,5,10,1,0,0,1,2
30.0,45108.0,214263.0,4.75,0.16,9863.0,1,1,1,1,1,0,1,2
1.0,350.0,8575.0,24.5,11.761991170924096,240.0,1,17,10,5,1,1,3,10
240.0,10000.0,31500.0,3.15,0.01,3869.0,1,1,8,3,1,1,2,2
240.0,14000.0,27300.0,1.95,0.01,14413.0,2,1,6,3,1,0,2,2
30.0,25000.0,83250.0,3.33,0.11,3591.0,2,23,1,1,1,0,1,2
60.0,126840.0,853633.2,6.73,0.11,11283.0,2,3,1,1,1,0,1,2
20.0,3000.0,96000.0,32.0,1.6,909.0,1,7,2,5,1,1,3,4
60.0,10808.0,127534.4,11.8,0.2,1320.0,1,2,6,1,1,0,1,2
60.0,10000.0,172800.0,17.28,0.29,1087.0,1,26,8,1,1,1,1,2
40.0,862.0,65512.0,76.0,1.9,963.0,1,24,1,5,1,1,3,1
60.0,2335.0,18773.4,8.04,0.13,237.0,1,1,12,1,1,1,2,2
30.0,97753.0,238517.32,2.44,0.08,5778.0,4,1,8,4,1,1,2,2
240.0,1090.0,2289.0,2.1,0.01,408.0,1,4,13,3,1,0,2,2
60.0,370.0,551.3,1.49,0.02,18.0,1,5,6,4,1,0,1,2
60.0,22242.0,51823.86,2.33,0.04,1207.0,2,3,2,1,1,0,1,2
90.0,3400.0,28084.0,8.26,0.09,18204.0,2,1,1,4,0,0,2,2
100.0,2949.0,262461.0,89.0,0.89,1192.0,1,6,4,5,1,1,3,3
30.0,84991.0,815913.6,9.6,0.32,38799.0,3,14,4,1,1,0,1,2
60.0,2208.0,18944.64,8.58,0.14,652.0,1,3,22,1,1,0,1,2
1.0,7002.0,161046.0,23.0,11.761991170924096,5057.0,1,17,15,5,1,1,3,10
100.0,66.0,5280.0,80.0,0.8,30.0,1,6,3,5,1,1,3,3
30.0,10000.0,57800.0,5.78,0.19,2156.0,1,1,6,1,1,0,1,2
60.0,13446.0,150864.12,11.22,0.19,20316.0,2,2,6,1,0,0,1,2
60.0,2883.0,27388.5,9.5,0.16,311.0,1,1,12,1,0,0,1,2
120.0,13429.0,264685.59,19.71,0.16,3522.0,2,2,1,1,1,0,1,2
60.0,30000.0,336600.0,11.22,0.19,4050.0,2,1,12,1,1,0,1,2
20.0,41.0,1312.0,32.0,1.6,509.0,1,7,13,5,0,1,3,4
90.0,2066.0,20804.62,10.07,0.11,1560.0,1,1,1,4,1,0,2,2
30.0,9354.0,33300.24,3.56,0.12,5391.0,1,1,12,1,0,0,1,2
60.0,1379.0,2399.46,1.74,0.03,157.0,2,1,1,1,1,0,1,2
30.0,9357.0,31158.81,3.33,0.11,12264.0,2,5,6,1,1,0,1,2
100.0,2591.0,201320.7,77.7,0.78,994.0,1,9,6,5,1,1,3,3
60.0,40245.0,382327.5,9.5,0.16,3254.0,1,4,2,1,1,0,1,2
30.0,145784.18484021962,1302250.6478105593,9.6,0.32,46946.48571682304,2,3,6,1,1,0,1,2
60.0,19937.0,139559.0,7.0,0.12,5340.0,1,5,1,1,1,0,1,2
60.0,3485.0,22722.2,6.52,0.11,1278.0,1,3,13,1,0,0,1,2
60.0,990.0,8494.2,8.58,0.14,112.0,1,3,13,1,0,0,1,2
30.0,11520.0,103334.4,8.97,0.3,303.0,2,1,1,1,0,0,1,2
60.0,72560.0,424476.0,5.85,0.1,5420.0,3,5,4,1,1,0,1,2
30.0,1428.0,4755.24,3.33,0.11,16966.0,3,14,4,1,0,0,1,2
60.0,145784.18484021962,1302250.6478105593,11.22,0.19,32538.0,2,2,6,1,1,0,1,2
100.0,150.0,10798.5,71.99,0.72,46.0,1,9,23,5,1,1,3,3
30.0,5173.0,24313.1,4.7,0.16,699.0,2,19,1,1,0,0,1,2
240.0,2350.0,4935.0,2.1,0.01,904.0,2,1,6,3,1,0,2,2
30.0,44135.0,548156.7,12.42,0.41,3462.0,1,2,2,1,1,0,1,2
120.0,1008.0,18809.28,18.66,0.16,406.0,1,8,10,1,1,1,1,6
30.0,380.0,2363.6,6.22,0.21,105.0,3,1,4,1,0,0,1,2
60.0,455.0,1110.2,2.44,0.04,427.0,1,1,19,1,0,0,1,2
240.0,10401.0,15705.51,1.51,0.01,3880.0,1,1,9,3,1,0,2,2
30.0,55356.0,386384.88,6.98,0.23,4482.0,1,3,9,1,1,1,1,2
240.0,352.0,5280.0,15.0,0.06,125.0,1,1,1,3,1,0,2,2
120.0,45711.0,924276.42,20.22,0.17,22534.0,2,8,2,1,0,0,1,6
30.0,240.0,4401.6,18.34,0.61,12.0,1,10,10,4,1,1,1,1
30.0,100000.0,1100000.0,11.0,0.37,7736.0,2,3,2,1,1,0,1,2
60.0,26663.0,176242.43,6.61,0.11,4233.0,1,23,23,1,1,1,1,2
30.0,2436.0,5456.64,2.24,0.07,3202.0,1,1,1,4,0,0,2,2
30.0,30464.0,176081.92,5.78,0.19,3189.0,1,1,1,1,0,0,1,2
60.0,9073.0,22773.23,2.51,0.04,487.0,2,3,7,1,1,0,1,2
240.0,474.0,10191.0,21.5,0.09,221.0,1,1,6,3,1,0,2,2
30.0,70000.0,273700.0,3.91,0.13,6889.0,3,5,4,1,1,0,1,2
60.0,50000.0,490500.0,9.81,0.16,5625.0,1,5,1,1,1,0,1,2
30.0,1000.0,18000.0,18.0,0.6,133.0,1,20,10,1,1,1,1,2
240.0,1020.0,21930.0,21.5,0.09,3340.0,1,1,6,3,0,0,2,2
30.0,23520.0,105604.8,4.49,0.15,3002.0,1,2,11,1,0,1,1,2
60.0,30000.0,162900.0,5.43,0.09,6022.0,2,4,6,1,0,0,1,2
20.0,10500.0,336000.0,32.0,1.6,3445.0,1,7,2,5,1,1,3,4
300.0,2569.0,79176.58,30.82,0.1,2410.0,1,11,2,3,1,1,2,8
1.0,40.0,100.0,2.5,2.5,2.0,1,12,19,5,1,1,4,5
100.0,213.0,15333.87,71.99,0.72,49.0,1,9,19,5,1,1,3,3
30.0,3200.0,52032.0,16.26,0.54,280.0,1,1,7,1,1,0,1,2
30.0,38160.0,506383.2,13.27,0.44,4359.0,2,2,1,1,0,0,1,2
30.0,1500.0,8310.0,5.54,0.18,729.0,2,2,12,1,1,0,1,2
60.0,672.0,3991.68,5.94,0.1,88.0,1,8,14,1,1,1,2,2
30.0,3068.0,52156.0,17.0,0.57,2002.0,1,15,15,1,1,0,1,1
60.0,65500.0,199120.0,3.04,0.05,3858.0,1,22,15,1,1,0,1,2
60.0,12100.0,98010.0,8.1,0.13,1685.0,1,2,11,1,1,1,1,2
60.0,34000.0,385900.0,11.35,0.19,5748.0,1,1,12,1,0,0,1,2
