Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight_Kilograms_Clean,shipment_mode_encoded,manufacturing_site_encoded,country_encoded,Dosage_Form_encoded,First_Line_Designation_encoded,fulfill_via_encoded,Sub_Classification_encoded,brand_encoded
60.0,10530.0,25693.2,2.44,0.04,544.0,1,1,9,1,1,0,1,2
60.0,233.0,675.7,2.9,0.05,54.0,3,1,4,1,0,0,1,2
100.0,3.0,240.0,80.0,0.8,2.0,1,6,5,5,1,1,3,3
100.0,30.0,2400.0,80.0,0.8,14.0,1,9,5,5,1,1,3,3
60.0,1395.0,10755.45,7.71,0.13,188.0,1,8,9,1,1,1,2,2
60.0,25572.0,281036.28,10.99,0.18,3572.0,1,2,11,1,1,1,1,2
60.0,76427.0,722235.15,9.45,0.16,7017.0,1,1,5,1,1,0,1,2
60.0,2052.0,3591.0,1.75,0.03,3426.0,1,1,1,4,0,0,1,2
30.0,97300.0,1302250.6478105593,14.1,0.47,11433.0,4,2,3,1,1,1,1,2
25.0,1400.0,28700.0,20.5,0.82,468.0,1,13,1,5,1,1,3,7
30.0,33144.0,105729.36,3.19,0.11,1874.0,1,5,14,1,1,1,1,2
30.0,13743.0,110493.72,8.04,0.27,1340.0,3,1,4,1,1,0,1,2
120.0,1746.0,33802.56,19.36,0.16,473.0,1,3,19,1,1,0,1,2
100.0,100.0,7199.0,71.99,0.72,28.0,1,9,24,5,1,1,3,3
25.0,16.0,320.0,20.0,0.8,19.0,1,13,3,5,0,0,3,7
60.0,459.0,913.41,1.99,0.03,152.0,2,4,9,1,0,0,2,2
60.0,1260.0,1839.6,1.46,0.02,82.0,1,1,1,4,1,0,1,2
60.0,1255.0,4267.0,3.4,0.06,120.0,1,1,15,1,1,0,1,2
60.0,24.0,72.0,3.0,0.05,21.0,3,1,4,1,1,0,1,2
1.0,112.0,0.0,0.0,0.0,46.0,1,6,21,5,1,1,4,3
30.0,33201.0,177957.36,5.36,0.18,7191.0,2,3,7,1,0,0,1,2
20.0,7000.0,224000.0,32.0,1.6,2373.0,1,7,4,5,1,1,3,4
30.0,90932.0,1302250.6478105593,19.92,0.66,10428.0,3,2,4,1,1,0,1,2
30.0,6392.0,27741.28,4.34,0.14,539.0,2,3,7,1,1,0,1,2
300.0,20.0,616.4,30.82,0.1,52.0,1,11,13,3,1,1,2,8
100.0,5.0,1750.0,129.58352457209097,3.5,12.0,1,27,24,5,1,1,3,1
30.0,12959.0,78790.72,6.08,0.2,1421.0,1,2,12,1,0,0,1,2
60.0,27634.0,58031.4,2.1,0.04,1616.0,1,3,11,1,1,1,1,2
60.0,4068.0,25425.0,6.25,0.1,268.0,3,1,4,1,1,0,1,2
60.0,145784.18484021962,430500.0,2.87,0.05,9282.0,4,5,8,1,1,1,1,2
60.0,625.0,4281.25,6.85,0.11,86.0,1,8,12,1,1,1,1,9
60.0,2066.0,7024.4,3.4,0.06,451.0,1,1,4,1,1,0,1,2
100.0,9000.0,648000.0,72.0,0.72,2655.0,1,9,6,5,1,1,3,3
240.0,4338.0,8545.86,1.97,0.01,4639.0,1,1,10,3,0,0,2,2
60.0,12600.0,27216.0,2.16,0.04,17826.0,4,3,10,1,0,1,1,2
60.0,20000.0,196200.0,9.81,0.16,11720.0,1,5,1,1,0,0,1,2
60.0,10000.0,112200.0,11.22,0.19,1250.0,1,1,4,1,1,0,1,2
60.0,2700.0,19980.0,7.4,0.12,199.0,1,5,12,1,1,0,1,2
30.0,4816.0,96320.0,20.0,0.67,647.0,1,2,10,1,1,1,1,2
30.0,3520.0,22598.4,6.42,0.21,197.0,2,2,1,1,1,0,1,2
100.0,12.0,0.12,0.01,0.0,19.0,1,9,3,5,0,0,4,2
60.0,39000.0,288600.0,7.4,0.12,7719.0,1,4,6,1,1,0,1,2
60.0,1470.0,11348.4,7.72,0.13,2400.0,1,3,12,1,0,0,1,2
20.0,1000.0,32000.0,32.0,1.6,1693.0,2,7,24,5,0,0,3,4
60.0,76832.0,500944.64,6.52,0.11,6780.0,3,2,4,1,1,0,1,2
60.0,100.0,175.0,1.75,0.03,4213.0,1,1,10,4,0,0,1,2
100.0,7000.0,35000.0,5.0,0.05,1382.0,1,9,2,5,1,1,4,2
30.0,145784.18484021962,1302250.6478105593,11.15,0.37,46946.48571682304,2,3,7,1,0,0,1,2
240.0,11644.0,34932.0,3.0,0.01,4442.0,1,1,8,3,1,1,2,2
60.0,61290.0,698706.0,11.4,0.19,7965.0,1,2,9,1,1,1,1,2
60.0,276.0,1128.84,4.09,0.07,5324.0,2,2,12,1,0,0,2,2
30.0,1860.0,23101.2,12.42,0.41,4091.0,1,4,7,1,0,0,1,2
100.0,3200.0,256000.0,80.0,0.8,1394.0,1,6,1,5,1,1,3,3
30.0,4403.0,20694.1,4.7,0.16,703.0,2,14,12,1,1,0,1,2
60.0,12548.0,165006.2,13.15,0.22,1297.0,1,2,9,1,1,0,1,2
60.0,55995.0,365087.4,6.52,0.11,4899.0,2,1,1,1,1,0,1,2
60.0,60000.0,343800.0,5.73,0.1,7268.0,1,4,7,1,1,0,1,2
60.0,11574.0,127314.0,11.0,0.18,12347.0,2,2,7,1,0,0,1,2
60.0,1192.0,18476.0,15.5,0.26,7889.0,2,1,1,1,0,0,2,2
60.0,17600.0,31680.0,1.8,0.03,2541.0,1,3,11,1,0,1,1,2
30.0,60.0,780.0,13.0,0.43,4.0,1,1,12,4,1,1,1,2
60.0,145784.18484021962,681625.0,2.87,0.05,15475.0,4,5,8,1,1,1,1,2
30.0,25000.0,300250.0,12.01,0.4,2173.0,1,1,4,1,1,0,1,2
60.0,600.0,900.0,1.5,0.02,125.0,1,1,11,4,0,1,1,2
25.0,24.0,480.0,20.0,0.8,75.0,1,13,18,5,1,1,3,7
60.0,115130.0,828936.0,7.2,0.12,8693.0,1,5,6,1,1,0,1,2
60.0,40000.0,284800.0,7.12,0.12,2970.0,3,5,4,1,1,0,1,2
100.0,1.0,8.0,8.0,0.08,2.0,1,6,18,5,1,1,4,3
60.0,6026.0,14703.44,2.44,0.04,6944.0,3,2,4,1,1,0,1,2
120.0,12960.0,262051.2,20.22,0.17,4395.0,2,8,6,1,0,0,1,6
20.0,1448.0,41992.0,29.0,1.45,482.0,1,12,4,5,1,1,3,5
30.0,70.0,315.7,4.51,0.15,6.0,4,1,8,1,1,1,1,2
90.0,400.0,6780.0,16.95,0.19,3340.0,1,1,6,4,1,0,2,2
60.0,55710.0,130361.4,2.34,0.04,3204.0,1,3,9,1,1,1,1,2
240.0,151.0,294.45,1.95,0.01,65.0,1,1,13,3,0,0,2,2
60.0,49295.0,113871.45,2.31,0.04,12032.0,3,1,4,1,1,0,1,2
60.0,20000.0,317800.0,15.89,0.26,2556.0,2,2,2,1,0,0,1,2
60.0,5218.0,58545.96,11.22,0.19,617.0,1,1,12,1,1,0,1,2
60.0,4065.0,10569.0,2.6,0.04,497.0,1,5,11,1,1,1,1,2
300.0,188.0,5794.16,30.82,0.1,221.0,1,11,12,3,1,1,2,8
30.0,8.0,48.64,6.08,0.2,81.0,1,2,13,1,0,0,1,2
20.0,5264.0,168448.0,32.0,1.6,1826.0,1,7,2,5,1,1,3,4
307.501710918752,36.0,7434.36,129.58352457209097,0.61,111.0,1,11,11,4,1,1,1,9
240.0,564.0,1099.8,1.95,0.01,210.0,1,1,22,3,1,0,2,2
100.0,2957.0,236560.0,80.0,0.8,1313.0,1,6,12,5,1,1,3,3
180.0,3271.0,55476.16,16.96,0.09,933.0,1,16,1,3,1,0,2,1
100.0,4000.0,5200.0,1.3,0.01,750.0,2,1,1,3,1,0,2,2
30.0,109.0,1853.0,17.0,0.57,422.0,1,29,4,1,1,0,1,1
100.0,2639.0,190008.0,72.0,0.72,1276.0,1,9,2,5,1,1,3,3
100.0,2769.0,246441.0,89.0,0.89,2355.0,1,6,4,5,1,1,3,3
120.0,10680.0,438948.0,41.1,0.34,2724.0,1,8,5,1,1,1,1,6
60.0,6985.0,17043.4,2.44,0.04,336.0,1,1,12,1,1,0,1,2
30.0,800.0,22080.0,27.6,0.92,86.0,1,12,12,5,1,1,3,5
60.0,7920.0,19324.8,2.44,0.04,746.0,1,1,10,1,0,0,1,2
100.0,8149.0,725261.0,89.0,0.89,3886.0,1,6,4,5,1,1,3,3
180.0,2737.0,46419.52,16.96,0.09,805.0,1,16,1,3,1,1,2,1
30.0,12000.0,288000.0,24.0,0.8,3733.0,1,13,16,5,1,1,3,7
60.0,18317.0,71253.13,3.89,0.06,581.0,2,2,5,1,1,0,2,2
30.0,1000.0,50400.0,50.4,1.68,108.0,1,16,4,1,1,0,1,1
60.0,4555.0,37396.55,8.21,0.14,3751.0,1,3,11,1,0,1,1,2
20.0,5000.0,160000.0,32.0,1.6,1578.0,1,7,5,5,1,0,3,4
60.0,2430.0,3547.8,1.46,0.02,156.0,1,1,1,4,1,0,1,2
100.0,1750.0,140000.0,80.0,0.8,842.0,1,9,4,5,1,1,3,3
60.0,747.0,5229.0,7.0,0.12,169.0,1,10,7,1,1,1,2,1
60.0,33147.0,218770.2,6.6,0.11,32.0,3,3,4,1,1,0,1,2
30.0,10015.0,89834.55,8.97,0.3,819.0,2,2,2,1,1,0,1,2
60.0,2383.0,36936.5,15.5,0.26,882.0,1,1,1,1,1,0,1,2
100.0,50.0,3600.0,72.0,0.72,32.0,1,9,3,5,1,1,3,3
100.0,3036.0,270204.0,89.0,0.89,1233.0,1,6,4,5,1,1,3,3
30.0,32673.0,375412.77,11.49,0.38,3425.0,1,2,11,1,1,1,1,2
30.0,14851.0,389838.75,26.25,0.88,1244.0,1,29,2,1,1,1,1,11
120.0,1114.0,67753.48,60.82,0.51,266.0,1,8,11,1,1,1,1,6
1.0,160.0,800.0,5.0,5.0,149.0,1,6,17,5,0,1,4,3
60.0,3035.0,22064.45,7.27,0.12,1722.0,2,4,6,1,1,0,1,2
60.0,1900.0,6460.0,3.4,0.06,4000.0,1,4,7,1,0,0,1,2
20.0,832.0,26624.0,32.0,1.6,832.0,1,7,19,5,1,1,3,4
30.0,63610.0,211821.3,3.33,0.11,16966.0,3,1,4,1,0,0,1,2
90.0,135.0,1255.5,9.3,0.1,8.0,2,5,5,1,1,0,2,2
20.0,2496.0,67392.0,27.0,1.35,702.0,1,12,4,5,1,1,3,5
60.0,6362.0,43007.12,6.76,0.11,315.0,1,1,13,1,1,0,1,2
60.0,20451.0,47037.3,2.3,0.04,10118.0,2,4,7,1,1,0,2,2
60.0,6275.0,71911.5,11.46,0.19,4395.0,2,2,6,1,0,0,1,2
60.0,67098.0,369039.0,5.5,0.09,3957.0,1,3,6,1,1,1,1,2
60.0,40860.0,95612.4,2.34,0.04,12945.0,1,3,12,1,1,1,1,2
240.0,4000.0,8400.0,2.1,0.01,1137.0,2,1,6,3,1,0,2,2
60.0,35000.0,228200.0,6.52,0.11,3704.0,2,3,2,1,0,0,1,2
30.0,48866.0,220385.66,4.51,0.15,4154.0,4,1,8,1,1,1,1,2
30.0,8249.0,185602.5,22.5,0.75,2800.0,1,10,9,5,1,1,3,1
30.0,48235.0,207410.5,4.3,0.14,3919.0,1,2,11,1,1,1,1,2
60.0,200.0,1900.0,9.5,0.16,94.0,1,21,10,1,1,1,2,1
60.0,4550.0,16380.0,3.6,0.06,15222.0,2,2,7,1,0,0,2,2
240.0,1000.0,1920.0,1.92,0.01,346.0,2,1,4,3,1,0,2,2
30.0,11592.0,52048.08,4.49,0.15,2128.0,1,2,11,1,0,1,1,2
60.0,33333.0,120332.13,3.61,0.06,11179.0,1,1,2,1,0,1,1,2
20.0,135.0,3915.0,29.0,1.45,47.0,1,12,15,5,1,1,3,5
60.0,5410.0,70113.6,12.96,0.22,645.0,2,1,2,1,0,0,1,2
60.0,20172.0,109533.96,5.43,0.09,1104.0,1,1,5,1,1,1,1,2
60.0,10020.0,23346.6,2.33,0.04,645.0,3,3,4,1,1,0,1,2
60.0,120000.0,261600.0,2.18,0.04,46946.48571682304,2,4,7,1,0,0,1,2
60.0,7876.0,11971.52,1.52,0.03,1994.0,1,1,4,4,0,0,1,2
60.0,18507.0,158234.85,8.55,0.14,3629.0,1,1,1,1,0,0,1,2
60.0,6156.0,68577.84,11.14,0.19,84.0,1,1,6,1,0,0,1,2
20.0,450.0,14400.0,32.0,1.6,149.0,1,7,5,5,1,1,3,4
30.0,784.0,10192.0,13.0,0.43,197.0,1,1,9,4,0,1,1,2
30.0,15594.0,83583.84,5.36,0.18,25523.0,1,19,4,1,0,0,1,2
60.0,786.0,43623.0,55.5,0.92,79.0,1,16,12,1,1,1,1,1
20.0,750.0,24000.0,32.0,1.6,265.0,1,7,23,5,1,1,3,4
60.0,448.0,2661.12,5.94,0.1,63.0,1,8,14,1,1,1,2,2
90.0,710.0,6624.3,9.33,0.1,116.0,1,5,13,1,0,0,2,2
240.0,20000.0,36000.0,1.8,0.01,7469.0,2,1,2,3,1,0,2,2
60.0,10000.0,72100.0,7.21,0.12,1108.0,1,1,12,1,1,0,1,2
30.0,2555.0,34543.6,13.52,0.45,227.0,2,2,6,1,1,0,1,2
25.0,2492.0,49840.0,20.0,0.8,738.0,2,13,7,5,1,0,3,7
240.0,4464.0,8570.88,1.92,0.01,1655.0,1,1,1,3,1,0,2,2
25.0,8525.0,170500.0,20.0,0.8,2842.0,1,13,16,5,1,1,3,7
240.0,1000.0,2100.0,2.1,0.01,941.0,1,1,11,3,0,1,2,2
60.0,210.0,1554.0,7.4,0.12,36.0,1,8,12,1,1,1,2,2
20.0,9380.0,253260.0,27.0,1.35,3058.0,1,12,4,5,1,1,3,5
100.0,85.0,29750.0,129.58352457209097,3.5,187.0,1,10,10,5,1,1,3,1
60.0,11500.0,31395.0,2.73,0.05,1870.0,1,3,10,1,1,0,1,2
120.0,15560.0,287393.2,18.47,0.15,3834.0,1,8,10,1,1,1,1,6
20.0,10270.0,277290.0,27.0,1.35,2907.0,1,12,4,5,1,1,3,5
30.0,3300.0,35574.0,10.78,0.36,1630.0,1,3,13,1,0,0,1,2
120.0,13703.0,460420.8,33.6,0.28,3476.0,4,1,15,1,1,1,1,2
60.0,39132.0,86481.72,2.21,0.04,2426.0,2,3,2,1,1,0,1,2
60.0,14952.0,128736.72,8.61,0.14,3802.0,1,1,11,1,0,1,1,2
120.0,23240.0,776216.0,33.4,0.28,6853.0,4,10,9,1,1,1,1,2
30.0,59609.0,357057.91,5.99,0.2,4227.0,1,20,9,1,1,1,1,2
120.0,7320.0,264691.2,36.16,0.3,1838.0,1,8,1,1,1,1,1,6
30.0,14119.0,46592.7,3.3,0.11,2998.0,1,1,11,1,0,1,1,2
30.0,20340.0,65291.4,3.21,0.11,1242.0,2,5,6,1,1,0,1,2
90.0,5291.0,23386.22,4.42,0.05,800.0,1,18,7,4,1,1,2,2
60.0,80010.0,897712.2,11.22,0.19,9402.0,1,1,1,1,1,0,1,2
60.0,2592.0,6324.48,2.44,0.04,979.0,2,1,6,1,0,0,1,2
30.0,2552.0,19497.28,7.64,0.25,182.0,1,4,1,1,1,0,1,2
60.0,6966.0,16718.4,2.4,0.04,1068.0,1,1,11,1,1,1,1,2
60.0,116000.0,327120.0,2.82,0.05,7193.0,4,5,8,1,1,1,1,2
120.0,120.0,4339.2,36.16,0.3,36.0,1,8,12,1,1,1,1,6
30.0,28330.0,188394.5,6.65,0.22,2645.0,4,1,8,1,1,1,1,2
90.0,75.0,697.5,9.3,0.1,5.0,1,5,19,1,1,0,2,2
20.0,250.0,6750.0,27.0,1.35,68.0,1,12,1,5,1,1,3,5
60.0,9009.0,20990.97,2.33,0.04,7755.0,1,3,10,1,0,0,1,2
30.0,9767.0,52351.12,5.36,0.18,852.0,2,19,1,1,1,0,1,2
25.0,10000.0,200000.0,20.0,0.8,3112.0,1,13,5,5,1,1,3,7
30.0,11527.0,138439.27,12.01,0.4,5588.0,1,1,4,1,0,0,1,2
30.0,19195.0,62191.8,3.24,0.11,1632.0,1,23,20,1,1,1,1,2
30.0,1303.0,6124.1,4.7,0.16,4883.0,2,2,9,1,0,0,1,2
60.0,56000.0,133280.0,2.38,0.04,2996.0,1,1,15,1,1,1,1,2
120.0,20440.0,418611.2,20.48,0.17,5450.0,2,2,1,1,1,0,1,2
30.0,99714.0,410821.68,4.12,0.14,6005.0,2,5,2,1,1,0,1,2
240.0,6250.0,12625.0,2.02,0.01,2409.0,2,1,6,3,1,0,2,2
60.0,4100.0,9553.0,2.33,0.04,16417.0,1,3,4,1,0,0,1,2
20.0,5.0,160.0,32.0,1.6,3.0,1,7,24,5,1,1,3,4
100.0,4500.0,450000.0,100.0,1.0,1825.0,1,6,10,5,1,1,3,3
30.0,1776.0,31968.0,18.0,0.6,237.0,1,20,12,1,1,1,1,2
60.0,107500.0,248325.0,2.31,0.04,12032.0,3,5,4,1,0,0,1,2
100.0,1043.0,4964.68,4.76,0.05,332.0,1,1,19,4,1,0,2,2
300.0,86.0,2650.52,30.82,0.1,100.0,1,11,9,3,1,1,2,8
30.0,240.0,969.6,4.04,0.13,5391.0,1,2,12,1,0,0,1,2
30.0,7140.0,119452.2,16.73,0.56,779.0,2,2,1,1,1,0,1,2
30.0,75013.0,768883.25,10.25,0.34,21570.0,2,10,7,1,0,0,1,2
60.0,294.0,446.88,1.52,0.03,14.0,1,5,12,4,1,0,1,2
60.0,630.0,976.5,1.55,0.03,42.0,1,1,6,4,1,0,1,2
30.0,76.0,1995.0,26.25,0.88,7.0,1,15,4,1,1,0,1,11
30.0,57577.0,404766.31,7.03,0.23,3950.0,4,4,8,1,1,1,1,2
120.0,13164.0,266176.08,20.22,0.17,2722.0,1,8,12,1,1,0,1,6
60.0,6000.0,11940.0,1.99,0.03,404.0,2,4,12,1,1,0,2,2
60.0,112100.0,608703.0,5.43,0.09,12810.0,2,4,7,1,0,0,1,2
60.0,4980.0,16185.0,3.25,0.05,209.0,2,2,7,1,0,0,2,2
180.0,2295.0,38923.2,16.96,0.09,687.0,1,16,10,3,1,1,2,1
30.0,1260.0,28350.0,22.5,0.75,122.0,2,2,1,1,1,0,1,2
60.0,33216.0,269381.76,8.11,0.14,4516.0,1,3,6,1,1,1,1,2
30.0,25000.0,300250.0,12.01,0.4,6124.0,1,1,4,1,1,0,1,2
30.0,8922.0,149265.06,16.73,0.56,973.0,2,2,1,1,1,0,1,2
30.0,4290.0,46632.3,10.87,0.36,2045.0,1,3,13,1,0,0,1,2
20.0,25.0,800.0,32.0,1.6,10.0,1,7,24,5,1,1,3,4
60.0,1560.0,12542.4,8.04,0.13,166.0,1,1,12,1,1,1,2,2
60.0,75000.0,182250.0,2.43,0.04,3347.0,4,5,8,1,1,1,1,2
30.0,373.0,8675.98,23.26,0.78,55.0,1,8,11,1,1,1,1,9
30.0,3991.0,65851.5,16.5,0.55,1150.0,1,10,9,5,1,1,3,1
120.0,32905.0,648557.55,19.71,0.16,5111.0,2,2,2,1,1,0,1,2
30.0,52127.0,548376.04,10.52,0.35,6874.0,1,3,12,1,1,0,1,2
30.0,252.0,3276.0,13.0,0.43,1553.0,1,1,11,4,1,1,1,2
30.0,57727.0,1148767.3,19.9,0.66,6349.0,4,2,5,1,1,1,1,2
30.0,31000.0,401760.0,12.96,0.43,3674.0,2,4,5,1,1,0,1,2
30.0,3300.0,12474.0,3.78,0.13,259.0,1,2,1,1,1,0,1,2
30.0,12590.0,58417.6,4.64,0.15,17018.0,2,10,2,1,0,0,1,2
60.0,8824.0,77298.24,8.76,0.15,706.0,1,2,1,1,1,0,1,2
60.0,12420.0,101223.0,8.15,0.14,14311.0,1,1,2,1,0,0,1,2
30.0,550.0,6050.0,11.0,0.37,54.0,1,1,13,4,1,1,2,2
307.501710918752,12.0,629.88,52.49,0.05,12.0,1,10,1,1,1,1,5,2
30.0,3364.0,41780.88,12.42,0.41,369.0,1,1,12,1,1,0,1,2
1.0,2988.0,73206.0,24.5,11.761991170924096,1992.0,1,17,9,5,1,1,3,10
20.0,65.0,2080.0,32.0,1.6,21.0,1,7,18,5,1,1,3,4
60.0,11553.0,43092.69,3.73,0.06,516.0,2,5,12,1,1,0,2,2
60.0,1220.0,6502.6,5.33,0.09,2300.0,3,1,4,1,0,0,1,2
30.0,1860.0,23101.2,12.42,0.41,2519.0,1,2,7,1,0,0,1,2
30.0,6392.0,26335.04,4.12,0.14,8578.0,2,2,7,1,0,0,1,2
30.0,33480.0,435240.0,13.0,0.43,4654.0,4,2,10,1,0,1,1,2
30.0,32670.0,151915.5,4.65,0.16,3076.0,1,14,7,1,1,1,1,2
60.0,26616.0,303422.4,11.4,0.19,2993.0,3,1,4,1,1,0,1,2
30.0,17422.0,66377.82,3.81,0.13,7191.0,2,20,7,1,0,0,1,2
20.0,12485.0,399520.0,32.0,1.6,3655.0,1,7,4,5,1,1,3,4
30.0,12696.0,333270.0,26.25,0.88,1114.0,1,15,4,1,1,0,1,11
25.0,200.0,15000.0,75.0,3.0,122.0,1,10,23,5,1,0,3,1
60.0,11000.0,58850.0,5.35,0.09,3828.0,1,5,11,1,1,1,1,2
30.0,2240.0,14716.8,6.57,0.22,6542.0,1,2,1,1,1,0,1,2
30.0,3240.0,33210.0,10.25,0.34,614.0,1,14,22,1,1,0,1,2
60.0,49.0,550.27,11.23,0.19,5.0,1,1,19,1,1,0,1,2
60.0,11485.0,65809.05,5.73,0.1,3931.0,1,5,15,1,0,0,1,2
30.0,2680.0,135072.0,50.4,1.68,2462.0,1,16,5,1,0,1,1,1
100.0,614.0,54646.0,89.0,0.89,295.0,1,6,4,5,1,1,3,3
100.0,2744.0,244216.0,89.0,0.89,1303.0,1,6,4,5,1,1,3,3
90.0,25000.0,204250.0,8.17,0.09,3313.0,4,1,8,4,1,1,2,2
20.0,65.0,2080.0,32.0,1.6,509.0,1,7,13,5,0,1,3,4
60.0,10.0,146.3,14.63,0.24,46.0,1,2,13,1,0,0,1,2
60.0,209.0,1703.35,8.15,0.14,12.0,1,22,19,1,1,0,1,2
60.0,71377.0,471088.2,6.6,0.11,6842.0,2,3,6,1,1,0,1,2
60.0,2475.0,6756.75,2.73,0.05,347.0,1,1,19,1,1,0,1,2
30.0,2000.0,47000.0,23.5,0.78,750.0,1,13,1,5,1,1,3,7
300.0,2025.0,62410.5,30.82,0.1,1902.0,1,11,7,3,1,1,2,8
300.0,184.0,5670.88,30.82,0.1,288.0,1,11,13,3,1,1,2,8
30.0,47716.0,152214.04,3.19,0.11,3077.0,1,5,14,1,1,1,1,2
25.0,10000.0,200000.0,20.0,0.8,3335.0,1,13,5,5,1,1,3,7
100.0,1500.0,120000.0,80.0,0.8,1489.0,1,9,16,5,1,1,3,3
60.0,15000.0,168300.0,11.22,0.19,1943.0,1,2,12,1,1,0,1,2
60.0,22047.0,67022.88,3.04,0.05,1057.0,1,22,1,1,1,0,1,2
120.0,400.0,16440.0,41.1,0.34,87.0,1,8,7,1,1,0,1,6
240.0,128.0,2112.0,16.5,0.07,938.0,1,1,10,3,0,0,2,2
30.0,44135.0,548156.7,12.42,0.41,3483.0,1,2,2,1,1,0,1,2
30.0,11729.0,50669.28,4.32,0.14,43128.0,2,1,2,1,0,0,1,2
30.0,42531.0,196918.53,4.63,0.15,7043.0,2,3,12,1,1,0,1,2
20.0,516.0,16512.0,32.0,1.6,174.0,1,7,16,5,1,1,3,4
60.0,145784.18484021962,1212001.4,7.72,0.13,32219.0,3,5,4,1,1,0,1,2
120.0,250.0,10275.0,41.1,0.34,105.0,1,8,6,1,1,0,1,6
40.0,375.0,28500.0,76.0,1.9,411.0,1,24,4,5,1,0,3,1
60.0,1660.0,11968.6,7.21,0.12,90.0,1,1,15,1,1,0,1,2
100.0,3293.0,255866.1,77.7,0.78,747.0,1,9,1,5,1,1,3,3
60.0,87707.0,378894.24,4.32,0.07,12264.0,2,5,6,1,0,0,1,2
100.0,218.0,17440.0,80.0,0.8,91.0,1,6,5,5,1,1,3,3
30.0,2003.0,23475.16,11.72,0.39,181.0,1,1,4,1,1,0,1,2
60.0,9000.0,100980.0,11.22,0.19,1726.0,1,1,21,1,0,0,1,2
100.0,237.0,21330.0,90.0,0.9,108.0,1,9,19,5,1,1,3,3
30.0,22752.0,238896.0,10.5,0.35,3138.0,1,3,11,1,1,1,1,2
30.0,16033.0,260536.25,16.25,0.54,536.0,1,1,2,1,1,0,1,2
60.0,990.0,5445.0,5.5,0.09,69.0,1,3,10,1,1,1,1,2
60.0,20000.0,74600.0,3.73,0.06,3431.0,2,2,5,1,1,0,2,2
100.0,2000.0,160000.0,80.0,0.8,957.0,1,6,1,5,1,1,3,3
60.0,2080.0,58240.0,28.0,0.47,316.0,1,2,1,1,1,1,1,2
120.0,5019.0,206280.9,41.1,0.34,1092.0,1,8,2,1,1,0,1,6
60.0,28624.0,267634.4,9.35,0.16,2583.0,1,1,1,1,1,0,1,2
30.0,3000.0,16500.0,5.5,0.18,188.0,3,2,4,1,1,0,1,2
60.0,35074.0,374590.32,10.68,0.18,3116.0,1,1,1,1,1,0,1,2
240.0,705.0,1064.55,1.51,0.01,346.0,1,1,10,3,1,1,2,2
30.0,12000.0,315000.0,26.25,0.88,1005.0,1,29,2,1,1,0,1,11
60.0,3974.0,6835.28,1.72,0.03,209.0,1,18,13,1,1,1,1,2
60.0,13784.0,178640.64,12.96,0.22,12181.0,2,2,5,1,0,0,1,2
60.0,15000.0,40950.0,2.73,0.05,1444.0,1,1,4,1,1,0,1,2
30.0,38300.0,641525.0,16.75,0.56,3822.0,1,1,11,1,0,1,1,2
100.0,8000.0,640000.0,80.0,0.8,3803.0,1,6,5,5,1,1,3,3
60.0,16873.0,41170.12,2.44,0.04,8433.0,2,1,7,1,1,0,1,2
60.0,37963.0,136666.8,3.6,0.06,3919.0,2,4,7,1,0,0,2,2
30.0,9920.0,108326.4,10.92,0.36,1721.0,2,2,1,1,0,0,1,2
30.0,22500.0,72225.0,3.21,0.11,10119.0,2,5,12,1,0,0,1,2
60.0,145784.18484021962,416716.17,2.47,0.04,8183.0,4,5,8,1,1,1,1,2
100.0,2796.0,223680.0,80.0,0.8,1133.0,1,6,22,5,1,1,3,3
60.0,1728.0,16416.0,9.5,0.16,2955.0,1,4,6,1,0,0,1,2
30.0,45000.0,540450.0,12.01,0.4,3457.0,2,2,2,1,1,0,1,2
120.0,1573.0,48479.86,30.82,0.26,393.0,4,8,1,1,1,1,1,6
30.0,100.0,665.0,6.65,0.22,11.0,4,1,8,1,1,1,1,2
20.0,10.0,320.0,32.0,1.6,4.0,1,7,18,5,1,1,3,4
30.0,1764.0,6262.2,3.55,0.12,110.0,2,2,1,1,1,0,1,2
30.0,92000.0,1058000.0,11.5,0.38,7678.0,2,2,2,1,1,0,1,2
100.0,2950.0,236000.0,80.0,0.8,1222.0,1,6,2,5,1,1,3,3
120.0,1727.0,34039.17,19.71,0.16,1630.0,1,2,13,1,0,0,1,2
60.0,15750.0,40792.5,2.59,0.04,986.0,1,3,9,1,1,1,1,2
30.0,3493.0,14740.46,4.22,0.14,2996.0,1,20,5,1,1,0,1,2
30.0,1458.0,40240.8,27.6,0.92,158.0,1,12,12,5,1,1,3,5
60.0,3840.0,12326.4,3.21,0.05,703.0,1,1,11,1,0,1,1,2
60.0,34732.0,257016.8,7.4,0.12,4091.0,1,4,7,1,0,0,1,2
240.0,6738.0,14149.8,2.1,0.01,2720.0,2,1,1,3,1,0,2,2
60.0,3746.0,32140.68,8.58,0.14,1309.0,1,3,17,1,0,0,1,2
60.0,9100.0,29848.0,3.28,0.05,693.0,2,4,2,1,1,0,1,2
60.0,990.0,7454.7,7.53,0.13,109.0,1,1,10,1,1,0,1,2
60.0,1005.0,2341.65,2.33,0.04,544.0,1,10,21,1,1,0,1,2
60.0,20284.0,192698.0,9.5,0.16,1897.0,1,1,1,1,1,0,1,2
