Pack_Price,Unit_Price,Weight_Kilograms_Clean,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Fulfill_Via,Shipment_Mode,Country,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
12.42,0.41,3801.0,30,44135,From RDC,Air,Zambia,Adult,Tablet,Yes,13715.55
11.75,0.39,493.0,30,6000,From RDC,Air,Uganda,Adult,Tablet,Yes,7879.03
5.99,0.2,3889.0,30,54684,Direct Drop,Air,Rwanda,Adult,Tablet,Yes,31784.09
5.78,0.19,22.0,30,200,From RDC,Air,Uganda,Adult,Tablet,Yes,709.02
20.5,0.17,1238.0,120,5709,From RDC,Air,Nigeria,Adult,Tablet,Yes,6433.28
4.84,0.05,411.0,100,457,From RDC,Air,Guyana,Pediatric,Capsule,No,3380.86
30.82,0.1,38.0,300,10,Direct Drop,Air,Haiti,Pediatric,Oral,Yes,1347.0
8.58,0.8,1280.0,100,2945,Direct Drop,Air,Côte d'Ivoire,HIV test,Test kit,Yes,125.42
11.15,0.37,1248.0,30,100000,From RDC,Air Charter,Nigeria,Adult,Tablet,No,20225.07
8.0,0.08,97.0,100,214,Direct Drop,Air,South Sudan,HIV test - Ancillary,Test kit,Yes,2590.24
20.5,0.17,401.0,120,2703,From RDC,Air,Nigeria,Adult,Tablet,Yes,2208.0
3.33,0.11,1248.0,30,70643,From RDC,Truck,Mozambique,Adult,Tablet,No,5902.4
3.55,0.12,1248.0,30,4236,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,No,46181.17
11.46,0.19,1337.0,60,13370,From RDC,Truck,Tanzania,Adult,Tablet,Yes,10540.22
7.4,0.12,8481.0,60,76000,From RDC,Truck,Zimbabwe,Adult,Tablet,No,30585.17
13.49,0.45,1828.0,30,19913,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,1955.17
8.58,0.89,1234.0,100,3038,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,21084.84
8.58,0.68,255.0,120,1010,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,8227.99
1.63,0.01,759.0,240,2125,From RDC,Air,South Sudan,Pediatric,Oral,Yes,9664.79
13.69,0.46,2261.0,30,7126,From RDC,Air,Uganda,Adult,Tablet,Yes,13252.2
8.58,0.8,907.0,100,3000,Direct Drop,Air,Kenya,HIV test,Test kit,Yes,9014.8
14.63,0.24,1500.0,60,23940,From RDC,Truck,Tanzania,Adult,Tablet,Yes,1698.83
3.95,0.02,6634.0,240,4316,From RDC,Air,Côte d'Ivoire,Pediatric,Oral,Yes,15561.0
8.58,0.16,389.0,180,198,Direct Drop,Air,Vietnam,Adult,Capsule,Yes,7286.16
2.44,0.04,5350.0,60,8010,From RDC,Air,Côte d'Ivoire,Adult,Tablet,Yes,4519.97
8.0,0.08,149.0,100,115,Direct Drop,Air,South Sudan,HIV test - Ancillary,Test kit,Yes,3256.76
7.43,0.12,124.0,60,2098,Direct Drop,Air,South Africa,Adult,Tablet,Yes,1697.89
4.67,0.16,4872.0,30,57600,Direct Drop,Air,South Africa,Adult,Tablet,Yes,5886.9
8.55,0.14,1073.0,60,11004,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,9535.67
4.22,0.14,1248.0,30,47312,From RDC,Truck,Uganda,Adult,Tablet,Yes,79938.08
8.58,0.8,606.0,100,1500,Direct Drop,Air,Côte d'Ivoire,HIV test,Test kit,Yes,8158.8
1.5,0.02,83.0,60,400,Direct Drop,Air,Vietnam,Adult,Capsule,Yes,2426.05
11.72,0.39,176.0,30,2063,From RDC,Air,Nigeria,Adult,Tablet,Yes,3680.33
8.55,0.14,294.0,60,3570,From RDC,Truck,Uganda,Adult,Tablet,Yes,2894.0
11.75,0.39,376.0,30,4955,From RDC,Air,Guyana,Adult,Tablet,Yes,4468.34
6.5,0.22,524.0,30,6552,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,4453.71
11.15,0.37,8456.0,30,5531,From RDC,Truck,Tanzania,Adult,Tablet,No,7134.39
8.58,0.79,83.0,120,500,Direct Drop,Air,Nigeria,Adult,Tablet,Yes,852.02
20.0,0.8,136.0,25,500,Direct Drop,Air,Côte d'Ivoire,HIV test,Test kit,Yes,2094.08
1.75,0.03,83.0,60,800,Direct Drop,Air,Vietnam,Adult,Capsule,No,2426.05
11.22,0.19,1248.0,60,105000,From RDC,Truck,Uganda,Adult,Tablet,No,79938.08
8.58,0.8,5902.0,100,20000,Direct Drop,Air,Kenya,HIV test,Test kit,Yes,52057.8
2.35,0.08,5184.0,30,92000,Direct Drop,Ocean,South Africa,Pediatric,Capsule,Yes,9592.95
1.95,0.01,823.0,240,2191,From RDC,Truck,Tanzania,Pediatric,Oral,Yes,3524.0
7.27,0.12,1248.0,60,3600,From RDC,Truck,Zimbabwe,Adult,Tablet,No,47389.63
4.63,0.15,1248.0,30,43715,From RDC,Truck,Zimbabwe,Adult,Tablet,No,43218.07
11.23,0.19,8889.0,60,10620,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,No,33073.6
7.5,0.12,2336.0,60,25000,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,21150.56
22.5,0.75,173.0,30,1262,Direct Drop,Air,Uganda,Adult,Tablet,Yes,935.89
3.0,0.05,3155.0,60,9599,From RDC,Air,Côte d'Ivoire,Adult,Tablet,No,9021.82
5.94,0.1,13.0,60,60,Direct Drop,Air,"Congo, DRC",Pediatric,Tablet,Yes,707.19
32.0,0.16,220.0,20,650,Direct Drop,Air,Namibia,HIV test,Test kit,Yes,7078.9
8.58,0.14,1248.0,60,25400,From RDC,Truck,Mozambique,Adult,Tablet,No,29935.05
8.82,0.29,830.0,30,1040,From RDC,Air,Haiti,Adult,Tablet,No,6555.75
32.0,0.16,22.0,20,68,Direct Drop,Air,Namibia,HIV test,Test kit,Yes,1003.52
1.95,0.01,125.0,240,291,From RDC,Air,"Congo, DRC",Pediatric,Oral,No,1554.64
23.0,0.16,2535.0,1,3510,Direct Drop,Air,Ethiopia,HIV test,Test kit,Yes,23035.69
32.0,0.16,278.0,20,650,Direct Drop,Air,Namibia,HIV test,Test kit,Yes,7936.81
4.59,0.15,4285.0,30,43272,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,34216.25
33.74,0.28,276.0,120,1313,From RDC,Air,Guyana,Adult,Tablet,Yes,3940.18
25.0,0.16,7.0,3,10,Direct Drop,Air,Botswana,HIV test - Ancillary,Test kit,Yes,403.66
32.0,0.16,509.0,20,15,Direct Drop,Air,"Congo, DRC",HIV test,Test kit,No,8021.11
7.0,0.12,43.0,60,160,Direct Drop,Air,Haiti,Pediatric,Tablet,Yes,1082.89
8.58,0.92,35.0,60,168,Direct Drop,Air,Uganda,Adult,Tablet,Yes,886.0
20.48,0.17,7140.0,120,25482,From RDC,Truck,Zambia,Adult,Tablet,Yes,47532.09
32.0,0.16,1636.0,20,2360,Direct Drop,Air,Mozambique,HIV test,Test kit,Yes,21087.7
9.5,0.16,5372.0,60,51364,From RDC,Air,Tanzania,Adult,Tablet,Yes,16430.72
26.25,0.88,892.0,30,4,From RDC,Air,Nigeria,Adult,Tablet,No,13353.34
9.28,0.04,6680.0,240,17337,Direct Drop,Ocean,South Africa,Pediatric,Oral,Yes,3755.91
8.58,0.89,1186.0,100,2744,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,24927.19
32.0,0.16,2134.0,20,6704,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,13771.63
7.71,0.13,47.0,60,810,From RDC,Air,Guyana,Adult,Tablet,Yes,1000.51
2.26,0.04,652.0,60,450,From RDC,Air,Burundi,Adult,Tablet,No,3763.2
7.58,0.25,77.0,30,800,Direct Drop,Air,Mozambique,Adult,Capsule,Yes,979.14
5.44,0.09,1630.0,60,2829,From RDC,Air,"Congo, DRC",Adult,Tablet,No,18387.8
10.0,0.33,2068.0,30,25000,From RDC,Truck,Namibia,Adult,Tablet,Yes,8502.12
1.52,0.03,178.0,60,1500,From RDC,Air,Nigeria,Adult,Capsule,Yes,1621.0
2.59,0.04,933.0,60,15030,Direct Drop,Air,Rwanda,Adult,Tablet,Yes,3847.96
7.72,0.13,1187.0,60,1485,From RDC,Air,Uganda,Adult,Tablet,No,9609.69
3.04,0.05,4241.0,60,200,From RDC,Air,Mozambique,Adult,Tablet,Yes,25442.0
8.58,0.8,3611.0,100,8898,Direct Drop,Air,Mozambique,HIV test,Test kit,Yes,24079.79
8.76,0.15,306.0,60,3000,From RDC,Air,Uganda,Adult,Tablet,No,3945.33
26.25,0.88,82.0,30,4,From RDC,Air,Nigeria,Adult,Tablet,No,1151.48
32.0,0.16,410.0,20,1513,Direct Drop,Air,Guyana,HIV test,Test kit,Yes,5577.13
8.58,0.8,822.0,100,1,Direct Drop,Air,Kenya,HIV test,Test kit,Yes,8664.89
7.3,0.08,25.0,90,338,From RDC,Truck,Uganda,Pediatric,Tablet,Yes,759.79
8.58,0.8,1239.0,100,2604,Direct Drop,Air,Zambia,HIV test,Test kit,Yes,22650.58
1.3,0.01,9014.0,100,45000,From RDC,Truck,Uganda,Pediatric,Oral,Yes,52211.42
16.96,0.09,1061.0,180,3559,Direct Drop,Air,Côte d'Ivoire,Pediatric,Oral,Yes,2454.99
4.26,0.14,7797.0,30,91772,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,7292.27
9.45,0.16,199.0,60,760,From RDC,Air,Nigeria,Adult,Tablet,Yes,1917.53
16.25,0.54,581.0,30,7000,From RDC,Air,Zimbabwe,Adult,Tablet,Yes,1886.21
3.75,0.06,192.0,60,2200,From RDC,Air,Côte d'Ivoire,Pediatric,Tablet,Yes,3649.76
7.12,0.12,5147.0,60,8258,From RDC,Air,Ethiopia,Adult,Tablet,Yes,29336.46
20.5,0.82,111.0,25,350,Direct Drop,Air,Côte d'Ivoire,HIV test,Test kit,Yes,1857.39
12.96,0.22,5897.0,60,155,From RDC,Air,"Congo, DRC",Adult,Tablet,No,40434.04
8.58,0.14,2234.0,60,15795,From RDC,Truck,Uganda,Adult,Tablet,Yes,6582.95
1.95,0.01,324.0,240,699,From RDC,Air,"Congo, DRC",Pediatric,Oral,No,3436.14
1.43,0.01,4673.0,240,11730,Direct Drop,Air,Ghana,Pediatric,Oral,Yes,22212.75
8.58,0.27,99.0,300,51,Direct Drop,Air,Guyana,Pediatric,Oral,Yes,1454.81
3.5,0.01,840.0,240,1216,From RDC,Air,Nigeria,Pediatric,Oral,Yes,3736.0
8.58,0.89,1186.0,100,2744,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,24927.19
8.58,0.7,5406.0,100,8,Direct Drop,Air,Botswana,HIV test,Test kit,Yes,559.95
7.9,0.13,581.0,60,10000,From RDC,Air,Zambia,Adult,Tablet,Yes,3238.0
29.68,0.25,1859.0,120,6899,From RDC,Truck,Uganda,Adult,Tablet,Yes,10611.0
8.11,0.14,1248.0,60,100000,From RDC,Air Charter,Nigeria,Adult,Tablet,No,49570.0
8.58,0.8,2548.0,100,6280,Direct Drop,Air,Zambia,HIV test,Test kit,Yes,28709.52
7.02,0.12,1380.0,60,24530,From RDC,Truck,Mozambique,Adult,Tablet,Yes,6483.81
11.22,0.19,1248.0,60,109554,From RDC,Truck,Mozambique,Adult,Tablet,Yes,25790.82
20.5,0.17,667.0,120,5151,From RDC,Air,Nigeria,Adult,Tablet,Yes,2921.0
8.58,0.51,1073.0,120,4400,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,1475.94
8.58,0.8,532.0,100,1070,Direct Drop,Air,Zimbabwe,HIV test,Test kit,Yes,14423.28
1.99,0.03,23.0,60,132,From RDC,Air,South Sudan,Pediatric,Tablet,Yes,1651.0
7.4,0.12,3731.0,60,35600,From RDC,Air,Côte d'Ivoire,Adult,Tablet,Yes,6778.91
8.58,0.89,3787.0,100,9312,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,57017.68
8.58,0.7,6.0,100,24,Direct Drop,Air,Namibia,HIV test,Test kit,Yes,868.31
3.89,0.06,426.0,60,4637,From RDC,Truck,Uganda,Pediatric,Tablet,Yes,1761.5
11.0,0.37,740.0,30,2528,From RDC,Truck,Côte d'Ivoire,Pediatric,Capsule,Yes,4754.52
4.04,0.13,63.0,30,1000,From RDC,Truck,Mozambique,Adult,Tablet,Yes,569.0
8.26,0.14,1248.0,60,137900,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,12601.07
32.0,0.16,209.0,20,597,Direct Drop,Air,South Sudan,HIV test,Test kit,Yes,3088.04
29.68,0.25,895.0,120,600,From RDC,Air,"Congo, DRC",Adult,Tablet,Yes,6061.4
2.49,0.04,30.0,60,384,Direct Drop,Air,Haiti,Adult,Tablet,Yes,1180.73
8.58,0.89,3759.0,100,9258,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,57561.38
2.44,0.04,487.0,60,10167,From RDC,Air,Haiti,Adult,Tablet,Yes,6113.34
3.21,0.11,186.0,30,573,From RDC,Air,Burundi,Adult,Tablet,No,29.21
3.4,0.06,1248.0,60,1300,From RDC,Air,Tanzania,Adult,Tablet,Yes,15210.0
4.7,0.16,677.0,30,6500,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,3880.14
3.9,0.06,190.0,60,2510,From RDC,Air,Mozambique,Adult,Tablet,Yes,1317.4
8.58,0.91,168.0,336,56,Direct Drop,Air,Vietnam,Adult,Capsule,Yes,4092.21
5.94,0.1,3991.0,60,19922,Direct Drop,Air,Zimbabwe,Pediatric,Tablet,Yes,34670.93
15.04,0.5,6801.0,30,60000,From RDC,Truck,Zambia,Adult,Tablet,Yes,7317.47
2.51,0.04,521.0,60,9073,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,2494.56
12.42,0.41,3454.0,30,44135,From RDC,Air,Zambia,Adult,Tablet,Yes,12492.0
2.1,0.01,171.0,240,204,From RDC,Air,Guyana,Pediatric,Oral,Yes,2522.76
6.5,0.22,111.0,30,1612,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,7457.19
24.5,0.16,300.0,1,450,Direct Drop,Air,Haiti,HIV test,Test kit,Yes,3446.68
4.53,0.15,1248.0,30,116218,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,10446.37
15.5,0.26,938.0,60,75,From RDC,Air,Haiti,Pediatric,Tablet,No,11340.2
8.58,0.8,1584.0,100,5259,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,22775.45
8.26,0.09,38.0,90,52,From RDC,Air,Guyana,Pediatric,Capsule,Yes,4718.3
2.4,0.04,3536.0,60,24480,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,20910.43
8.13,0.14,4093.0,60,32190,Direct Drop,Air,Cameroon,Adult,Tablet,Yes,34441.93
11.22,0.19,7916.0,60,12169,From RDC,Air,Côte d'Ivoire,Adult,Tablet,Yes,21397.38
2.9,0.05,1001.0,60,10453,From RDC,Air,Uganda,Adult,Tablet,Yes,3228.26
0.9,0.9,1.0,1,13,Direct Drop,Air,Sudan,HIV test - Ancillary,Test kit,Yes,137.5
1.74,0.03,27.0,60,440,From RDC,Truck,Mozambique,Adult,Tablet,Yes,800.0
0.0,0.0,1255.0,100,3029,Direct Drop,Air,Tanzania,HIV test,Test kit,Yes,21384.75
11.8,0.2,822.0,60,6296,From RDC,Air,Uganda,Adult,Tablet,Yes,7321.04
1.85,0.03,2922.0,60,6400,Direct Drop,Air,Vietnam,Adult,Tablet,No,5616.02
3.64,0.12,1248.0,30,120954,From RDC,Air,Nigeria,Adult,Tablet,Yes,15459.09
1.97,0.01,862.0,240,2415,From RDC,Air,Haiti,Pediatric,Oral,No,9711.2
2.44,0.04,544.0,60,10530,From RDC,Air,Rwanda,Adult,Tablet,Yes,5029.05
2.9,0.05,54.0,60,233,From RDC,Air Charter,Nigeria,Adult,Tablet,No,7445.8
8.58,0.8,2.0,100,3,Direct Drop,Air,Tanzania,HIV test,Test kit,Yes,925.04
8.58,0.8,14.0,100,30,Direct Drop,Air,Tanzania,HIV test,Test kit,Yes,1489.33
7.71,0.13,188.0,60,1395,Direct Drop,Air,Rwanda,Pediatric,Tablet,Yes,3035.87
10.99,0.18,3572.0,60,25572,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,10657.33
9.45,0.16,7017.0,60,76427,From RDC,Air,Tanzania,Adult,Tablet,Yes,5367.09
1.75,0.03,3426.0,60,2052,From RDC,Air,Côte d'Ivoire,Adult,Capsule,No,9797.41
14.1,0.47,1248.0,30,97300,Direct Drop,Ocean,Others,Adult,Tablet,Yes,12323.93
20.5,0.82,468.0,25,1400,Direct Drop,Air,Côte d'Ivoire,HIV test,Test kit,Yes,5372.87
3.19,0.11,1874.0,30,33144,Direct Drop,Air,Ghana,Adult,Tablet,Yes,9507.26
8.04,0.27,1340.0,30,13743,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,17090.0
19.36,0.16,473.0,120,1746,From RDC,Air,Guyana,Adult,Tablet,Yes,5769.34
8.58,0.72,28.0,100,100,Direct Drop,Air,Botswana,HIV test,Test kit,Yes,641.06
20.0,0.8,19.0,25,16,From RDC,Air,Others,HIV test,Test kit,No,851.24
1.99,0.03,152.0,60,459,From RDC,Truck,Rwanda,Pediatric,Tablet,No,1330.99
1.46,0.02,82.0,60,1260,From RDC,Air,Côte d'Ivoire,Adult,Capsule,Yes,1211.48
3.4,0.06,120.0,60,1255,From RDC,Air,Ethiopia,Adult,Tablet,Yes,1318.0
3.0,0.05,21.0,60,24,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,7329.83
0.0,0.0,46.0,1,112,Direct Drop,Air,Dominican Republic,HIV test - Ancillary,Test kit,Yes,1428.23
5.36,0.18,7191.0,30,33201,From RDC,Truck,Zimbabwe,Adult,Tablet,No,6014.22
32.0,0.16,2373.0,20,7000,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,29878.21
19.92,0.66,1248.0,30,90932,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,18495.9
4.34,0.14,539.0,30,6392,From RDC,Truck,Zimbabwe,Adult,Tablet,Yes,1709.78
30.82,0.1,52.0,300,20,Direct Drop,Air,"Congo, DRC",Pediatric,Oral,Yes,1573.41
8.58,0.16,12.0,100,5,Direct Drop,Air,Botswana,HIV test,Test kit,Yes,684.42
6.08,0.2,1421.0,30,12959,From RDC,Air,Uganda,Adult,Tablet,No,4322.6
2.1,0.04,1616.0,60,27634,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,3147.88
6.25,0.1,268.0,60,4068,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,20225.07
2.87,0.05,9282.0,60,150000,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,15222.94
6.85,0.11,86.0,60,625,Direct Drop,Air,Uganda,Adult,Tablet,Yes,86.0
3.4,0.06,451.0,60,2066,From RDC,Air,Nigeria,Adult,Tablet,Yes,3487.94
8.58,0.72,2655.0,100,9000,Direct Drop,Air,Mozambique,HIV test,Test kit,Yes,25052.69
1.97,0.01,4639.0,240,4338,From RDC,Air,Haiti,Pediatric,Oral,No,47525.69
2.16,0.04,1248.0,60,12600,Direct Drop,Ocean,Haiti,Adult,Tablet,No,20526.23
9.81,0.16,1248.0,60,20000,From RDC,Air,Côte d'Ivoire,Adult,Tablet,No,11702.27
11.22,0.19,1250.0,60,10000,From RDC,Air,Nigeria,Adult,Tablet,Yes,6147.18
7.4,0.12,199.0,60,2700,From RDC,Air,Uganda,Adult,Tablet,Yes,1476.8
20.0,0.67,647.0,30,4816,Direct Drop,Air,Haiti,Adult,Tablet,Yes,4444.33
6.42,0.21,197.0,30,3520,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,3296.34
0.01,0.0,19.0,100,12,From RDC,Air,Others,HIV test - Ancillary,Test kit,No,851.24
7.4,0.12,7719.0,60,39000,From RDC,Air,Mozambique,Adult,Tablet,Yes,6260.71
7.72,0.13,2400.0,60,1470,From RDC,Air,Uganda,Adult,Tablet,No,18337.82
32.0,0.16,1693.0,20,1000,From RDC,Truck,Botswana,HIV test,Test kit,No,1220.73
6.52,0.11,6780.0,60,76832,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,14251.0
1.75,0.03,4213.0,60,100,From RDC,Air,Haiti,Adult,Capsule,No,38515.8
5.0,0.05,1382.0,100,7000,Direct Drop,Air,Zambia,HIV test - Ancillary,Test kit,Yes,18369.56
11.15,0.37,1248.0,30,360000,From RDC,Truck,Zimbabwe,Adult,Tablet,No,64802.96
3.0,0.01,4442.0,240,11644,Direct Drop,Air,South Africa,Pediatric,Oral,Yes,3283.59
11.4,0.19,7965.0,60,61290,Direct Drop,Air,Rwanda,Adult,Tablet,Yes,65851.29
4.09,0.07,5324.0,60,276,From RDC,Truck,Uganda,Pediatric,Tablet,No,8248.28
12.42,0.41,4091.0,30,1860,From RDC,Air,Zimbabwe,Adult,Tablet,No,12130.9
8.58,0.8,1394.0,100,3200,Direct Drop,Air,Côte d'Ivoire,HIV test,Test kit,Yes,20822.73
4.7,0.16,703.0,30,4403,From RDC,Truck,Uganda,Adult,Tablet,Yes,4234.12
13.15,0.22,1297.0,60,12548,From RDC,Air,Rwanda,Adult,Tablet,Yes,21520.66
6.52,0.11,4899.0,60,55995,From RDC,Truck,Côte d'Ivoire,Adult,Tablet,Yes,19497.24
5.73,0.1,7268.0,60,60000,From RDC,Air,Zimbabwe,Adult,Tablet,Yes,13243.91
11.0,0.18,1248.0,60,11574,From RDC,Truck,Zimbabwe,Adult,Tablet,No,16978.83
15.5,0.26,7889.0,60,1192,From RDC,Truck,Côte d'Ivoire,Pediatric,Tablet,No,6406.53
1.8,0.03,2541.0,60,17600,Direct Drop,Air,Vietnam,Adult,Tablet,No,5489.55
13.0,0.43,4.0,30,60,Direct Drop,Air,Uganda,Adult,Capsule,Yes,1045.04
2.87,0.05,1248.0,60,237500,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,14682.98
12.01,0.4,2173.0,30,25000,From RDC,Air,Nigeria,Adult,Tablet,Yes,9906.63
1.5,0.02,125.0,60,600,Direct Drop,Air,Vietnam,Adult,Capsule,No,2429.85
20.0,0.8,75.0,25,24,Direct Drop,Air,Sudan,HIV test,Test kit,Yes,1539.55
7.2,0.12,8693.0,60,115130,From RDC,Air,Mozambique,Adult,Tablet,Yes,6757.33
7.12,0.12,2970.0,60,40000,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,7329.83
8.0,0.08,2.0,100,1,Direct Drop,Air,Sudan,HIV test - Ancillary,Test kit,Yes,980.7
2.44,0.04,6944.0,60,6026,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,17090.0
20.22,0.17,4395.0,120,12960,From RDC,Truck,Mozambique,Adult,Tablet,No,5816.47
29.0,0.16,482.0,20,1448,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,3060.82
4.51,0.15,6.0,30,70,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,9951.38
16.95,0.19,3340.0,90,400,From RDC,Air,Mozambique,Pediatric,Capsule,Yes,3438.84
2.34,0.04,3204.0,60,55710,Direct Drop,Air,Rwanda,Adult,Tablet,Yes,19625.64
1.95,0.01,65.0,240,151,From RDC,Air,"Congo, DRC",Pediatric,Oral,No,1418.01
2.31,0.04,1248.0,60,49295,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,29780.5
15.89,0.26,2556.0,60,20000,From RDC,Truck,Zambia,Adult,Tablet,No,4471.07
11.22,0.19,617.0,60,5218,From RDC,Air,Uganda,Adult,Tablet,Yes,5194.22
2.6,0.04,497.0,60,4065,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,6269.65
30.82,0.1,221.0,300,188,Direct Drop,Air,Uganda,Pediatric,Oral,Yes,2553.06
6.08,0.2,81.0,30,8,From RDC,Air,"Congo, DRC",Adult,Tablet,No,1535.56
32.0,0.16,1826.0,20,5264,Direct Drop,Air,Zambia,HIV test,Test kit,Yes,16438.26
8.58,0.61,111.0,336,36,Direct Drop,Air,Vietnam,Adult,Capsule,Yes,7300.68
1.95,0.01,210.0,240,564,From RDC,Air,Burundi,Pediatric,Oral,Yes,1551.32
8.58,0.8,1313.0,100,2957,Direct Drop,Air,Uganda,HIV test,Test kit,Yes,31917.19
16.96,0.09,933.0,180,3271,From RDC,Air,Côte d'Ivoire,Pediatric,Oral,Yes,3409.91
1.3,0.01,750.0,100,4000,From RDC,Truck,Côte d'Ivoire,Pediatric,Oral,Yes,3138.81
17.0,0.57,422.0,30,109,From RDC,Air,Nigeria,Adult,Tablet,Yes,2812.3
8.58,0.72,1276.0,100,2639,Direct Drop,Air,Zambia,HIV test,Test kit,Yes,20121.14
8.58,0.89,2355.0,100,2769,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,16816.33
41.1,0.34,2724.0,120,10680,Direct Drop,Air,Tanzania,Adult,Tablet,Yes,12620.12
2.44,0.04,336.0,60,6985,From RDC,Air,Uganda,Adult,Tablet,Yes,2528.69
27.6,0.92,86.0,30,800,Direct Drop,Air,Uganda,HIV test,Test kit,Yes,798.43
2.44,0.04,746.0,60,7920,From RDC,Air,Haiti,Adult,Tablet,No,6036.96
8.58,0.89,3886.0,100,8149,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,86928.23
16.96,0.09,805.0,180,2737,Direct Drop,Air,Côte d'Ivoire,Pediatric,Oral,Yes,1659.71
24.0,0.8,3733.0,30,12000,Direct Drop,Air,Kenya,HIV test,Test kit,Yes,29039.18
3.89,0.06,581.0,60,18317,From RDC,Truck,Tanzania,Pediatric,Tablet,Yes,6311.88
50.4,0.16,108.0,30,1000,From RDC,Air,Nigeria,Adult,Tablet,Yes,13353.34
8.21,0.14,3751.0,60,4555,Direct Drop,Air,Vietnam,Adult,Tablet,No,10867.28
32.0,0.16,1578.0,20,5000,From RDC,Air,Tanzania,HIV test,Test kit,Yes,8925.0
1.46,0.02,156.0,60,2430,From RDC,Air,Côte d'Ivoire,Adult,Capsule,Yes,2298.6
8.58,0.8,842.0,100,1750,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,14829.77
7.0,0.12,169.0,60,747,Direct Drop,Air,Zimbabwe,Pediatric,Tablet,Yes,2387.62
6.6,0.11,32.0,60,33147,From RDC,Air Charter,Nigeria,Adult,Tablet,Yes,5798.14
8.97,0.3,819.0,30,10015,From RDC,Truck,Zambia,Adult,Tablet,Yes,2882.6
15.5,0.26,882.0,60,2383,From RDC,Air,Côte d'Ivoire,Adult,Tablet,Yes,4516.67
8.58,0.72,32.0,100,50,Direct Drop,Air,Others,HIV test,Test kit,Yes,1804.2
8.58,0.89,1233.0,100,3036,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,20602.3
11.49,0.38,3425.0,30,32673,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,11077.85
26.25,0.88,1244.0,30,14851,Direct Drop,Air,Zambia,Adult,Tablet,Yes,6546.69
8.58,0.51,266.0,120,1114,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,6568.7
5.0,0.16,149.0,1,160,Direct Drop,Air,South Sudan,HIV test - Ancillary,Test kit,No,3256.76
7.27,0.12,1722.0,60,3035,From RDC,Truck,Mozambique,Adult,Tablet,Yes,5950.17
3.4,0.06,4000.0,60,1900,From RDC,Air,Zimbabwe,Adult,Tablet,No,3302.14
32.0,0.16,832.0,20,832,Direct Drop,Air,Guyana,HIV test,Test kit,Yes,3740.04
3.33,0.11,1248.0,30,63610,From RDC,Air Charter,Nigeria,Adult,Tablet,No,20761.0
9.3,0.1,8.0,90,135,From RDC,Truck,Tanzania,Pediatric,Tablet,Yes,1231.6
27.0,0.16,702.0,20,2496,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,4474.15
6.76,0.11,315.0,60,6362,From RDC,Air,"Congo, DRC",Adult,Tablet,Yes,2030.96
