Pack_Price,Unit_Price,Weight_Kilograms_Clean,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Fulfill_Via,Shipment_Mode,Country,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
30.82,0.1,2272.0,300,2266,Direct Drop,Air,Zambia,Pediatric,Oral,Yes,13949.95
16.75,0.56,2177.0,30,25003,From RDC,Air,Mozambique,Adult,Tablet,Yes,2912.01
5.69,0.09,4799.0,60,49920,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,10959.54
8.58,0.72,965.0,100,4200,Direct Drop,Air,Mozambique,HIV test,Test kit,Yes,7781.88
12.5,0.05,212.0,240,576,From RDC,Air,Côte d'Ivoire,Pediatric,Oral,Yes,1771.26
2.43,0.04,1248.0,60,440000,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,33865.26
50.0,0.28,1024.0,180,20,From RDC,Air,Nigeria,Adult,Capsule,Yes,5226.6
13.15,0.44,731.0,30,820,From RDC,Air,"Congo, DRC",Adult,Tablet,No,9041.74
8.76,0.15,680.0,60,3350,From RDC,Air,Uganda,Adult,Tablet,No,3335.33
8.5,0.04,1631.0,240,4534,Direct Drop,Air,Rwanda,Pediatric,Oral,Yes,13116.57
2.26,0.04,1248.0,60,120000,From RDC,Truck,Zambia,Adult,Tablet,Yes,11941.65
3.4,0.06,2503.0,60,44432,From RDC,Truck,Zambia,Adult,Tablet,Yes,3629.37
3.28,0.05,7268.0,60,99,From RDC,Air,Zimbabwe,Adult,Tablet,No,13243.91
8.58,0.68,208.0,120,800,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,3449.4
2.1,0.01,1273.0,240,3393,From RDC,Truck,Côte d'Ivoire,Pediatric,Oral,Yes,4783.36
3.3,0.06,357.0,60,5287,From RDC,Air,Zimbabwe,Pediatric,Tablet,Yes,2001.46
4.7,0.16,9530.0,30,21529,From RDC,Truck,Zambia,Adult,Tablet,Yes,16468.54
12.11,0.4,2503.0,30,22000,From RDC,Truck,Mozambique,Adult,Tablet,Yes,4120.69
8.58,0.89,1247.0,100,2887,Direct Drop,Air,Nigeria,HIV test,Test kit,Yes,26859.39
11.75,0.39,7755.0,30,400,From RDC,Air,Haiti,Adult,Tablet,No,74839.9
2.43,0.04,1248.0,60,356876,Direct Drop,Ocean,South Africa,Adult,Tablet,Yes,20258.29
3.89,0.06,128.0,60,2277,From RDC,Air,Uganda,Pediatric,Tablet,Yes,1611.43
5.75,0.1,1089.0,60,418,Direct Drop,Air,Vietnam,Adult,Tablet,Yes,2006.63
