Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,shipment_mode_encoded,manufacturing_site_encoded,country_encoded,Dosage_Form_encoded,First_Line_Designation_encoded,fulfill_via_encoded,Sub_Classification_encoded,brand_encoded,Freight_Cost_USD_Clean
-0.25803966878490275,-0.5,0.08187219771807677,-0.24623655913978493,-0.08333333333333333,2,2,1,1,1,0,2,2,2180.32
0.09808074972719687,0.0,-0.17499605098482363,0.1424731182795699,0.08333333333333333,1,1,13,1,1,0,1,2,18387.8
0.09551319083381475,-0.5,0.6648197426457186,0.9500000000000001,2.0,1,15,2,1,1,0,1,11,6785.1
-0.24391809487130112,-0.6666666666666666,0.19176417696448317,1.2591397849462365,4.000000000000001,1,7,6,4,1,1,3,4,16397.94
1.5128056999807433,-0.5,2.4192031494914885,0.10322580645161289,0.5277777777777777,4,3,10,1,1,1,1,2,7992.56
-0.20822902625328968,0.0,0.2312300270963195,-0.24892473118279568,-0.25,1,2,14,1,1,1,2,2,4659.75
-0.2593234482315938,0.5,-0.11317269954677457,1.281720430107527,0.5555555555555556,1,10,5,3,1,0,2,1,2465.0
1.9960202837152576,-0.5,5.6226442605620965,-0.031182795698924733,0.3055555555555556,2,2,2,1,1,0,1,2,4506.18
-0.037486359843378905,-0.5,0.025346602024325933,0.26559139784946234,0.8055555555555557,2,2,6,1,1,0,1,2,8406.81
2.457153860966686,-0.5,6.191496859014083,-0.182258064516129,0.027777777777777804,1,2,9,1,1,1,1,2,119695.66
-0.27370177803453366,0.5,-0.1275106623409762,0.39892473118279564,0.05555555555555553,1,10,15,3,1,0,2,1,1722.0
-0.21413441170806854,0.6666666666666666,-0.141897228398887,3.409139784946236,1.5555555555555554,1,9,7,4,1,1,3,3,5781.14
0.3304448295782785,-0.9833333333333333,-0.039149928917726826,0.775268817204301,32.227753252566934,1,17,15,4,1,1,3,10,22433.91
3.1385839912702997,0.0,0.15711004993985347,0.32526881720430106,0.2222222222222222,2,2,2,1,1,0,1,2,11292.05
-0.07728352269080171,0.0,0.2541707675670421,0.46021505376344085,0.36111111111111105,2,2,2,1,1,0,1,2,13232.09
8.428268823416136,0.0,6.875839795876967,-0.025268817204301106,-0.05555555555555553,1,3,6,1,1,1,1,2,146734.85
-0.31118813787791255,0.0,-0.19638148701685318,0.14193548387096777,0.08333333333333333,2,2,6,1,1,0,1,2,3470.0
