Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,Shipment_mode,Manufacturing_site,Country,Fulfill_Via,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
100.0,213.0,0.01,0.0,14.0,1.0,6.0,18.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,360.0
20.0,2551.0,32.0,1.6,885.0,1.0,3.0,18.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,11057.25
100.0,1000.0,80.0,0.8,343.0,1.0,25.0,2.0,1.0,1.0,2.0,28.0,4.0,1.0,0.0,2373.73
60.0,100000.0,8.11,0.14,46946.48571682304,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30202.86
60.0,40000.0,3.4,0.06,9344.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35246.5
30.0,8000.0,2.0,0.07,8855.0,0.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29883.7
90.0,702.0,4.42,0.05,126.0,1.0,16.0,10.0,1.0,0.0,0.0,14.0,0.0,2.0,1.0,798.95
30.0,106589.0,4.51,0.15,9061.0,2.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,9323.3
60.0,4200.0,2.73,0.05,563.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1524.56
60.0,207.0,1.32,0.02,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2503.34
100.0,100.0,89.05,0.89,1173.0,1.0,5.0,4.0,1.0,3.0,5.0,30.0,0.0,0.0,0.0,7019.07
60.0,145784.18484021962,2.51,0.04,19257.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6476.69
1.0,5994.0,24.5,11.761991170924096,3996.0,1.0,7.0,7.0,1.0,1.0,2.0,5.0,5.0,1.0,0.0,53062.21
100.0,5.0,72.0,0.72,3.0,1.0,6.0,23.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,787.28
300.0,1500.0,30.82,0.1,1374.0,1.0,14.0,9.0,1.0,0.0,0.0,10.0,8.0,3.0,0.0,15509.16
90.0,868.0,9.3,0.1,173.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.48
60.0,15960.0,1.45,0.02,1815.0,1.0,1.0,10.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,9931.49
60.0,1019.0,70.0,1.17,138.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,439.17
100.0,3144.0,89.0,0.89,1276.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,15681.99
60.0,73690.0,8.58,0.14,9886.0,0.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44300.9
60.0,34000.0,6.52,0.11,5862.0,3.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28812.57
100.0,650.0,79.99,0.8,148.0,1.0,6.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,2577.27
60.0,29796.0,6.52,0.11,5862.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28812.57
20.0,18.0,32.0,1.6,177.0,1.0,3.0,15.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1692.35
60.0,88500.0,3.89,0.06,5103.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11604.57
1.0,3438.0,5.0,5.0,1581.0,1.0,9.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,40965.77
30.0,1500.0,22.5,0.75,6991.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12648.36
30.0,15890.0,12.11,0.4,1807.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30844.1
120.0,150.0,82.2,0.68,34.0,1.0,13.0,18.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1608.7
30.0,41514.0,5.36,0.18,4052.0,1.0,15.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15459.09
60.0,14011.0,1.85,0.03,1953.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3658.08
100.0,4000.0,72.0,0.72,2526.0,1.0,25.0,3.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1871.05
100.0,695.0,80.0,0.8,332.0,1.0,9.0,17.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,8738.06
20.0,150.0,32.0,1.6,58.0,1.0,3.0,17.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,642.05
60.0,5880.0,7.53,0.13,679.0,0.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3302.14
60.0,1800.0,15.5,0.26,379.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1945.66
1.0,175.0,24.5,11.761991170924096,128.0,1.0,7.0,8.0,1.0,1.0,2.0,5.0,5.0,1.0,0.0,1584.09
240.0,567.0,2.02,0.01,411.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3380.86
30.0,1902.0,20.0,0.67,170.0,1.0,21.0,20.0,1.0,0.0,1.0,19.0,0.0,2.0,0.0,1965.62
240.0,10000.0,1.3,0.01,3731.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4329.61
60.0,68000.0,1.74,0.03,6221.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9341.81
120.0,14988.0,21.0,0.18,7791.0,1.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,90360.12
60.0,915.0,7.53,0.13,51.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1702.92
60.0,61290.0,2.34,0.04,3528.0,1.0,4.0,14.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,16938.13
60.0,6600.0,11.22,0.19,843.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6470.51
60.0,9784.0,6.52,0.11,884.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,684.86
60.0,20520.0,2.4,0.04,4762.0,1.0,1.0,10.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,17541.06
60.0,697.0,1.99,0.03,47.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.74
30.0,667.0,4.45,0.15,7187.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16285.97
30.0,20000.0,4.63,0.15,2000.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8499.16
240.0,238.0,1.85,0.01,76.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2180.0
60.0,298.0,12.96,0.22,3637.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25634.47
30.0,11912.0,1.56,0.05,802.0,1.0,1.0,6.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,5740.54
60.0,1650.0,2.9,0.05,847.0,1.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4999.48
60.0,1747.0,8.76,0.15,148.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1012.18
30.0,2575.0,4.7,0.16,272.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5419.22
60.0,38784.0,7.0,0.12,4124.0,1.0,10.0,7.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,10500.0
60.0,15000.0,14.63,0.24,1485.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8510.82
100.0,5000.0,77.7,0.78,1136.0,1.0,6.0,7.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,49573.62
60.0,88403.0,7.72,0.13,9421.0,1.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15459.1
60.0,131487.0,2.42,0.04,46946.48571682304,0.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,47389.63
20.0,1000.0,32.0,1.6,347.0,1.0,3.0,12.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,4259.57
30.0,30000.0,9.72,0.32,3364.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7329.83
30.0,29247.0,10.78,0.36,5324.0,0.0,22.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8248.28
30.0,10150.0,22.5,0.75,1360.0,1.0,0.0,11.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,7665.38
100.0,2744.0,89.0,0.89,1303.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,28734.43
30.0,23000.0,13.27,0.44,2437.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18461.23
60.0,2000.0,9.5,0.16,391.0,1.0,26.0,0.0,1.0,0.0,0.0,24.0,3.0,0.0,0.0,830.05
20.0,4445.0,32.0,1.6,1112.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,18669.96
30.0,40593.0,11.15,0.37,4585.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,6881.65
30.0,62209.0,10.95,0.36,5795.0,1.0,0.0,7.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,63600.4
60.0,93700.0,8.26,0.14,12220.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42859.56
240.0,45000.0,2.12,0.01,16260.0,2.0,1.0,13.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,17060.14
120.0,2000.0,82.2,0.68,513.0,1.0,13.0,10.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,5866.31
30.0,2448.0,8.53,0.28,178.0,1.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1854.35
240.0,448.0,13.6,0.06,698.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5121.68
30.0,8283.0,3.21,0.11,19965.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14767.58
200.0,9050.0,1.45,0.01,1084.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5181.0
60.0,39096.0,7.27,0.12,3591.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7733.77
100.0,550.0,71.99,0.72,161.0,1.0,6.0,9.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,939.12
30.0,35955.0,4.65,0.16,3520.0,3.0,22.0,9.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,23014.35
60.0,65524.0,9.5,0.16,14599.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32146.52
90.0,49.0,7.3,0.08,110.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3178.0
60.0,100000.0,6.52,0.11,8855.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33900.99
100.0,5359.0,80.0,0.8,2131.0,1.0,9.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,62196.13
25.0,108.0,37.5,1.5,34.0,1.0,5.0,18.0,1.0,4.0,5.0,31.0,3.0,1.0,0.0,648.27
60.0,120.0,6.85,0.11,22.0,1.0,13.0,3.0,1.0,0.0,1.0,10.0,7.0,0.0,0.0,828.76
60.0,9400.0,1.8,0.03,1030.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1593.67
60.0,174.0,11.0,0.18,46.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,456.17
30.0,34036.0,5.78,0.19,2901.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4897.42
120.0,7677.0,21.78,0.18,16376.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14547.55
90.0,5117.0,9.3,0.1,333.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0
30.0,120000.0,6.65,0.22,11201.0,2.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,13084.26
60.0,50928.0,8.55,0.14,11468.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7816.45
60.0,13334.0,11.4,0.19,1626.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17096.24
30.0,100.0,7.58,0.25,9.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,734.66
30.0,100000.0,4.22,0.14,5712.0,3.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18495.9
30.0,33936.0,4.62,0.15,14925.0,2.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,22100.46
60.0,1240.0,5.58,0.09,73.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4937.65
30.0,4292.0,3.81,0.13,4026.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15677.98
40.0,500.0,76.0,1.9,562.0,1.0,24.0,0.0,1.0,1.0,2.0,21.0,3.0,1.0,0.0,11298.13
60.0,1216.0,1.5,0.02,3426.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,9797.41
100.0,3100.0,80.0,0.8,1473.0,1.0,9.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,29742.64
30.0,2500.0,5.78,0.19,216.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2064.42
90.0,630.0,9.69,0.11,1055.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11490.2
240.0,4000.0,1.99,0.01,10413.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39599.1
30.0,45.0,6.08,0.2,512.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3438.2
30.0,15881.0,3.3,0.11,5939.0,1.0,1.0,10.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,10770.55
60.0,85000.0,2.22,0.04,11125.0,3.0,10.0,9.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,84791.1
90.0,492.0,9.71,0.11,3629.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8758.37
30.0,13653.0,4.59,0.15,4326.0,0.0,15.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9426.33
100.0,1123.0,70.0,0.7,257.0,1.0,6.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,2851.72
60.0,1614.0,2.33,0.04,1421.0,1.0,5.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4322.6
20.0,7.0,32.0,1.6,54.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2734.02
60.0,98.0,7.02,0.12,65.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1418.01
60.0,33338.0,2.53,0.04,1791.0,1.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1791.42
30.0,48960.0,3.33,0.11,23677.0,0.0,12.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9405.81
30.0,6464.0,26.25,0.88,571.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1949.41
240.0,2000.0,2.1,0.01,5633.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,17548.42
60.0,330.0,16.44,0.27,86.0,1.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3307.86
30.0,27911.0,5.54,0.18,11969.0,3.0,15.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17090.0
30.0,42240.0,4.62,0.15,4589.0,3.0,4.0,9.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,27376.22
30.0,18544.0,18.34,0.61,1478.0,1.0,26.0,6.0,1.0,0.0,1.0,24.0,3.0,2.0,0.0,1312.2
60.0,1815.0,2.66,0.04,499.0,1.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5783.6
60.0,1320.0,5.94,0.1,406.0,1.0,13.0,4.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,2562.6
30.0,650.0,11.75,0.39,61.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,536.02
60.0,136403.0,2.37,0.04,7765.0,2.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,4835.17
30.0,1447.0,4.7,0.16,592.0,1.0,22.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6169.0
60.0,20000.0,2.0,0.03,1386.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7061.2
60.0,11092.0,6.75,0.11,957.0,1.0,0.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1869.41
60.0,145784.18484021962,7.72,0.13,46946.48571682304,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,116593.0
25.0,50.0,95.0,3.8,36.0,1.0,20.0,22.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0,481.63
240.0,5700.0,2.1,0.01,2845.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10943.15
60.0,2600.0,20.99,0.35,8819.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8022.59
120.0,27.0,21.0,0.18,95.0,1.0,1.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,771.9
100.0,120.0,80.0,0.8,55.0,1.0,9.0,19.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,846.69
240.0,588.0,13.6,0.06,215.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6406.54
120.0,403.0,41.1,0.34,88.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1603.44
60.0,561.0,5.73,0.1,341.0,1.0,10.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,114.22
200.0,165.0,1.45,0.01,15.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,350.78
100.0,1500.0,80.0,0.8,512.0,1.0,25.0,11.0,1.0,1.0,2.0,28.0,4.0,1.0,0.0,3906.29
30.0,57468.0,4.32,0.14,4915.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13398.06
120.0,2300.0,20.48,0.17,613.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4676.4
120.0,909.0,19.52,0.16,8820.0,0.0,13.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,3541.59
30.0,39680.0,5.54,0.18,3329.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27441.25
100.0,8.0,70.0,0.7,3.0,1.0,6.0,23.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,584.1
60.0,46163.0,9.45,0.16,4237.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3482.59
30.0,2000.0,21.0,0.7,600.0,1.0,5.0,7.0,1.0,1.0,2.0,16.0,3.0,1.0,0.0,5714.31
60.0,4636.0,11.36,0.19,458.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4130.15
240.0,4000.0,1.95,0.01,1496.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14897.04
30.0,4000.0,12.01,0.4,8523.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35673.58
60.0,320.0,7.0,0.12,148.0,1.0,26.0,10.0,1.0,0.0,0.0,24.0,3.0,0.0,1.0,14.36
60.0,108000.0,8.76,0.15,10865.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13518.56
60.0,120.0,2.91,0.05,4211.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3227.48
1.0,360.0,23.0,11.761991170924096,261.0,1.0,7.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,0.0,3135.97
20.0,3487.0,32.0,1.6,1252.0,1.0,20.0,11.0,1.0,1.0,2.0,18.0,9.0,1.0,0.0,5850.25
120.0,574.0,26.7,0.22,4758.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6031.15
60.0,125202.0,11.22,0.19,34813.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14716.83
60.0,1900.0,11.2,0.19,2356.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3688.77
30.0,36831.0,4.62,0.15,17826.0,2.0,4.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,20526.23
300.0,1500.0,30.82,0.1,1374.0,1.0,14.0,9.0,1.0,0.0,0.0,10.0,8.0,3.0,0.0,15504.4
60.0,520.0,25.0,0.42,137.0,1.0,1.0,10.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,5260.46
60.0,12937.0,2.3,0.04,875.0,1.0,21.0,10.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,2181.91
60.0,39045.0,8.21,0.14,5092.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,7312.6
100.0,130.0,89.0,0.89,60.0,1.0,6.0,16.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,2084.49
240.0,1758.0,2.1,0.01,604.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7100.04
20.0,125.0,32.0,1.6,41.0,1.0,3.0,15.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1441.21
240.0,136.0,1.85,0.01,173.0,1.0,1.0,10.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,1079.39
60.0,1980.0,12.96,0.22,3809.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,39513.54
60.0,100000.0,2.58,0.04,18672.0,3.0,12.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25231.96
30.0,41700.0,14.1,0.47,4900.0,1.0,0.0,17.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,29478.42
60.0,1650.0,13.5,0.22,197.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1637.0
60.0,90.0,4.3,0.07,9.0,1.0,10.0,18.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,541.88
30.0,17760.0,10.0,0.33,2516.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3809.94
60.0,67842.0,11.4,0.19,7627.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11492.86
60.0,114324.0,8.11,0.14,15659.0,0.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10925.34
60.0,32000.0,8.26,0.14,3175.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13398.04
100.0,3.0,8.0,0.08,2.0,1.0,9.0,16.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,1076.15
60.0,19920.0,5.74,0.1,1936.0,1.0,10.0,10.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,5314.56
30.0,3775.0,13.0,0.43,257.0,1.0,1.0,8.0,1.0,0.0,1.0,6.0,0.0,2.0,0.0,2325.62
20.0,7.0,32.0,1.6,112.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3196.31
30.0,1092.0,2.24,0.07,7.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,805.58
60.0,45084.0,2.51,0.04,2698.0,1.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12676.4
60.0,18180.0,11.35,0.19,2047.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6739.08
60.0,4160.0,2.15,0.04,426.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1761.5
30.0,44135.0,12.42,0.41,3801.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13715.55
30.0,6000.0,11.75,0.39,493.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7879.03
30.0,54684.0,5.99,0.2,3889.0,1.0,21.0,7.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,31784.09
30.0,200.0,5.78,0.19,22.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,709.02
120.0,5709.0,20.5,0.17,1238.0,1.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6433.28
100.0,457.0,4.84,0.05,411.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3380.86
300.0,10.0,30.82,0.1,38.0,1.0,14.0,4.0,1.0,0.0,0.0,10.0,8.0,3.0,0.0,1347.0
100.0,2945.0,80.0,0.8,1280.0,1.0,9.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,125.42
30.0,100000.0,11.15,0.37,21510.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20225.07
100.0,214.0,8.0,0.08,97.0,1.0,9.0,15.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,2590.24
120.0,2703.0,20.5,0.17,401.0,1.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2208.0
30.0,70643.0,3.33,0.11,12264.0,0.0,27.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5902.4
30.0,4236.0,3.55,0.12,24636.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,46181.17
60.0,13370.0,11.46,0.19,1337.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10540.22
60.0,76000.0,7.4,0.12,8481.0,0.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30585.17
30.0,19913.0,13.49,0.45,1828.0,0.0,28.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1955.17
100.0,3038.0,89.0,0.89,1234.0,1.0,9.0,11.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,21084.84
120.0,1010.0,82.2,0.68,255.0,1.0,13.0,10.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,8227.99
240.0,2125.0,1.63,0.01,759.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9664.79
30.0,7126.0,13.69,0.46,2261.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13252.2
100.0,3000.0,80.0,0.8,907.0,1.0,6.0,12.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,9014.8
60.0,23940.0,14.63,0.24,1500.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1698.83
240.0,4316.0,3.95,0.02,6634.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15561.0
