Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,Shipment_mode,Manufacturing_site,Country,Fulfill_Via,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
60.0,45000.0,9.35,0.16,5197.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21895.01
60.0,1063.0,7.53,0.13,347.0,1.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4293.82
60.0,89037.0,2.51,0.04,21879.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8647.16
300.0,304.0,30.82,0.1,278.0,1.0,14.0,6.0,1.0,0.0,0.0,10.0,8.0,3.0,0.0,5656.74
60.0,100000.0,2.42,0.04,26199.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34356.26
30.0,50000.0,12.01,0.4,3880.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3817.12
100.0,142.0,71.99,0.72,33.0,1.0,6.0,22.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,1715.17
100.0,3047.0,80.0,0.8,1323.0,1.0,9.0,14.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,16337.04
60.0,145784.18484021962,7.02,0.12,10142.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7651.59
30.0,8000.0,18.0,0.6,1045.0,1.0,21.0,7.0,1.0,0.0,1.0,19.0,0.0,0.0,0.0,6949.93
60.0,6600.0,2.25,0.04,657.0,1.0,1.0,10.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1192.25
60.0,3319.0,2.73,0.05,699.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3952.34
60.0,32070.0,2.53,0.04,1727.0,1.0,1.0,13.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1791.42
30.0,14802.0,1.56,0.05,951.0,1.0,1.0,5.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,7326.62
60.0,145784.18484021962,8.26,0.14,20975.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3279.25
60.0,10372.0,11.56,0.19,1312.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14569.14
60.0,45.0,1.46,0.02,54.0,3.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7445.8
60.0,2565.0,5.94,0.1,304.0,1.0,13.0,14.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,2808.12
30.0,3000.0,4.45,0.15,1642.0,1.0,12.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15347.04
20.0,350.0,27.0,1.35,205.0,1.0,20.0,0.0,1.0,1.0,2.0,18.0,9.0,1.0,0.0,1437.4
60.0,40000.0,1.45,0.02,2343.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,12751.68
120.0,1865.0,20.48,0.17,497.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5819.7
60.0,25312.0,8.55,0.14,4988.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7960.74
25.0,2000.0,20.0,0.8,624.0,1.0,23.0,9.0,1.0,1.0,2.0,11.0,10.0,1.0,0.0,4756.06
