Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Pack_Price,Unit_Price,Weight_Kilograms_Clean,Fulfill_Via,Shipment_Mode,Product_Group,Sub_Classification,Dosage_Form,First_Line_Designation,Freight_Cost_USD_Clean
-0.5982183781226119,-0.3561838141285597,-0.47290815309377954,-0.132048321551482,-0.2863269140993607,0.0,0.0,0.0,0.0,0.0,0.0,2180.32
-0.2091992058376153,-0.48308410055030104,-0.2729551954273938,-0.11589143442676728,-0.18872272102791543,0.0,1.0,0.0,1.0,0.0,0.0,18387.8
-0.5982183781226119,-0.06819099760209504,0.14243808592103124,0.06991276750745197,-0.1894264282598653,0.0,1.0,0.0,1.0,0.0,0.0,6785.1
-0.7278914355509442,-0.3018940227189935,0.3014601476889037,0.2637954130040286,-0.28245652432363644,1.0,1.0,1.0,2.0,1.0,0.0,16397.94
-0.5982183781226119,0.7985247523845039,-0.2931440832692281,-0.0728064020941947,0.19901996377645603,1.0,2.0,0.0,1.0,0.0,0.0,7992.56
-0.2091992058376153,-0.282396760169428,-0.4742909536308915,-0.14820520867619671,-0.2726749937995334,1.0,1.0,0.0,0.0,0.0,0.0,4659.75
0.1798199664473813,-0.45254159074359246,0.313075672200644,-0.07011358757340891,-0.2866787677153356,0.0,1.0,0.0,0.0,2.0,0.0,2465.0
-0.5982183781226119,2.3811165930764573,-0.3622841101248248,-0.09434891826048097,0.33145766482941924,0.0,0.0,0.0,1.0,0.0,0.0,4506.18
-0.5982183781226119,-0.38410908056346704,-0.20962293082766725,-0.04587825688633683,-0.2258784628748679,0.0,0.0,0.0,1.0,0.0,0.0,8406.81
-0.5982183781226119,2.6621461015495056,-0.4399975003105155,-0.12127706346833883,0.45784348368761363,1.0,1.0,0.0,1.0,0.0,0.0,119695.66
0.1798199664473813,-0.4596249558324124,-0.1410360241869153,-0.11858424894755305,-0.2906195282142548,0.0,1.0,0.0,0.0,2.0,0.0,1722.0
0.30949302387571354,-0.4667323323283132,1.4074240172710286,0.026827735174879384,-0.27429352043301813,1.0,1.0,1.0,2.0,1.0,0.0,5781.14
-0.9742702446647753,-0.4159722177596166,0.05255605100875551,6.026418487485611,-0.12503721653645333,1.0,1.0,1.0,2.0,1.0,0.0,22433.91
-0.2091992058376153,-0.31901415596756527,-0.1789247589037823,-0.10242736182283835,0.6446073830471059,0.0,0.0,0.0,1.0,0.0,0.0,11292.05
-0.2091992058376153,-0.271063376027316,-0.10950817194076319,-0.08896328921890942,-0.2367859249700907,0.0,0.0,0.0,1.0,0.0,0.0,13232.09
-0.2091992058376153,5.502599513573406,-0.35924194894317857,-0.1293555070306962,2.094385022310202,1.0,1.0,0.0,1.0,0.0,0.0,146734.85
-0.2091992058376153,-0.4936491196658292,-0.2732317555348162,-0.11589143442676728,-0.30089365380072275,0.0,0.0,0.0,1.0,0.0,0.0,3470.0
-0.5982183781226119,-0.4959302033385,-0.22400405641363136,-0.051263885927908405,-0.08534812865448137,1.0,1.0,0.0,1.0,2.0,1.0,5018.69
0.30949302387571354,-0.3849975026254546,1.407700577378451,0.026827735174879384,-0.20371168506844742,1.0,1.0,1.0,2.0,1.0,0.0,13093.27
-0.2091992058376153,-0.4926646519755186,-0.3412655419607234,-0.1266626925099104,-0.3009640245239177,0.0,1.0,0.0,1.0,0.0,1.0,1567.51
-0.2091992058376153,-0.496218340223469,-0.5470262618829792,-0.16166928128012562,-0.22918588686503225,0.0,1.0,0.0,1.0,2.0,1.0,11490.2
-0.5982183781226119,-0.49064769378073597,-0.540388819304842,-0.15359083771776827,-0.3005418001847478,1.0,1.0,0.0,0.0,2.0,0.0,1317.01
2.1249158278723645,-0.3936656205816038,-0.13688762257557954,-0.14820520867619671,-0.1913968085093249,0.0,0.0,0.0,0.0,3.0,0.0,6708.25
0.30949302387571354,-0.29754795803737855,1.6289486633163606,0.04837025134116569,-0.20110796831023292,1.0,1.0,1.0,2.0,1.0,0.0,13343.23
1.3468774833023711,-0.47588067842607734,0.7992683410492001,-0.09165610373969518,-0.28534172397463087,1.0,1.0,0.0,1.0,2.0,0.0,1167.97
-0.5982183781226119,1.7208028983559487,-0.45327238546679005,-0.12396987798912462,0.24391648517485695,1.0,2.0,0.0,1.0,0.0,0.0,20684.73
-0.2091992058376153,-0.3976034913428461,-0.5160515298516719,-0.15628365223855406,-0.2571230639734416,0.0,1.0,0.0,1.0,0.0,1.0,4311.22
0.30949302387571354,-0.4239920277245857,1.8778527599965087,0.07260558202823776,-0.21278950836060057,1.0,1.0,1.0,2.0,1.0,0.0,16002.97
-0.2091992058376153,0.21132579222486636,-0.40072596505653657,-0.13743395059305355,-0.11990015374321937,1.0,1.0,0.0,1.0,0.0,0.0,21886.49
-0.2091992058376153,3.340708465651381,-0.31222673068137274,-0.12396987798912462,2.366719721074797,0.0,3.0,0.0,1.0,0.0,0.0,16532.5
0.30949302387571354,-0.4310994042204865,1.8778527599965087,0.07260558202823776,-0.21553396656520502,1.0,1.0,1.0,2.0,1.0,0.0,26380.35
-0.9742702446647753,-0.4424567997696792,-0.44525214235154087,1.179352350071196,-0.20765244556736662,1.0,1.0,1.0,3.0,1.0,1.0,24410.67
-0.5982183781226119,-0.49362510825874845,-0.3467967441091711,-0.08896328921890942,-0.3015973610326726,1.0,1.0,0.0,1.0,0.0,0.0,2187.01
-0.2091992058376153,0.3549380179748068,-0.3968541235526232,-0.13743395059305355,-0.05860725384038679,1.0,1.0,0.0,1.0,0.0,0.0,10048.1
